"Time","step2","J1_w","J2_w","J3_w","J4_w"
8.300000000000000E-01,0.000000000000000E+00,3.376517746838400E+00,3.376517746838400E+00,3.376517746838400E+00,4.884981308350700E-15
8.400000000000000E-01,0.000000000000000E+00,3.414807004856500E+00,3.401716014196800E+00,3.401716014196800E+00,4.440892098500600E-15
8.500000000000000E-01,0.000000000000000E+00,3.464314785321500E+00,3.426112436253900E+00,3.426112436253900E+00,4.440892098500600E-15
8.600000000000000E-01,0.000000000000000E+00,3.514892977691600E+00,3.449959086629400E+00,3.449959086629400E+00,5.329070518200800E-15
8.700000000000000E-01,0.000000000000000E+00,3.557000045894100E+00,3.473251135995800E+00,3.473251135995800E+00,6.217248937900900E-15
8.800000000000000E-01,0.000000000000000E+00,3.581922429807200E+00,3.495985409658800E+00,3.495985409658800E+00,6.217248937900900E-15
8.900000000000000E-01,0.000000000000000E+00,3.582738242817300E+00,3.518158277453700E+00,3.518158277453700E+00,6.661338147750900E-15
9.000000000000000E-01,1.000000000000000E+00,3.555061637425600E+00,3.539766241204200E+00,3.539766241204200E+00,5.329070518200800E-15
9.100000000000000E-01,1.000000000000000E+00,3.506317747989000E+00,3.506317747989000E+00,3.506317747989000E+00,1.000000000000000E-01
9.200000000000000E-01,1.000000000000000E+00,3.457950719672100E+00,3.457950719672100E+00,3.457950719672100E+00,2.000000000000000E-01
9.300000000000000E-01,1.000000000000000E+00,3.401200572222800E+00,3.401200572222800E+00,3.401200572222800E+00,3.000000000000000E-01
9.399999999999999E-01,1.000000000000000E+00,3.338342754798000E+00,3.338342754798000E+00,3.338342754798000E+00,4.000000000000000E-01
9.500000000000000E-01,1.000000000000000E+00,3.272302517872300E+00,3.272302517872300E+00,3.272302517872300E+00,5.000000000000000E-01
9.600000000000000E-01,1.000000000000000E+00,3.206231409649100E+00,3.206231409649100E+00,3.206231409649100E+00,6.000000000000000E-01
9.700000000000000E-01,1.000000000000000E+00,3.143368312397500E+00,3.143368312397500E+00,3.143368312397500E+00,7.000000000000000E-01
9.800000000000000E-01,1.000000000000000E+00,3.086604466791800E+00,3.086604466791800E+00,3.086604466791800E+00,8.000000000000000E-01
9.900000000000000E-01,1.000000000000000E+00,3.038227802365500E+00,3.038227802365500E+00,3.038227802365500E+00,9.000000000000000E-01
1.000000000000000E+00,1.000000000000000E+00,2.999725122384600E+00,2.999725122384600E+00,2.999725122384600E+00,1.000000000000000E+00
1.010000000000000E+00,1.000000000000000E+00,2.984843055158100E+00,2.964964176194900E+00,2.964964176194900E+00,1.100000000000000E+00
1.020000000000000E+00,1.000000000000000E+00,3.000847546750000E+00,2.929553283320800E+00,2.929553283320800E+00,1.200000000000000E+00
1.030000000000000E+00,1.000000000000000E+00,3.043252918307000E+00,2.893540272824000E+00,2.893540272824000E+00,1.300000000000000E+00
1.040000000000000E+00,1.000000000000000E+00,3.105144482046100E+00,2.856922891130800E+00,2.856922891130800E+00,1.400000000000000E+00
1.050000000000000E+00,1.000000000000000E+00,3.177887351982800E+00,2.819699081556400E+00,2.819699081556400E+00,1.500000000000000E+00
1.060000000000000E+00,1.000000000000000E+00,3.251802155822200E+00,2.781867473738500E+00,2.781867473738500E+00,1.600000000000000E+00
1.070000000000000E+00,1.000000000000000E+00,3.317398602855100E+00,2.743424925120000E+00,2.743424925120000E+00,1.700000000000000E+00
1.080000000000000E+00,1.000000000000000E+00,3.365892420661500E+00,2.704370231429800E+00,2.704370231429800E+00,1.800000000000000E+00
1.090000000000000E+00,1.000000000000000E+00,3.390376421057500E+00,2.664701586104200E+00,2.664701586104200E+00,1.900000000000000E+00
1.100000000000000E+00,1.000000000000000E+00,3.386479147307000E+00,2.624417366493500E+00,2.624417366493500E+00,2.000000000000000E+00
1.110000000000000E+00,1.000000000000000E+00,3.352704264752500E+00,2.583515997466300E+00,2.583515997466300E+00,2.100000000000000E+00
1.120000000000000E+00,1.000000000000000E+00,3.290540821257000E+00,2.541996137905000E+00,2.541996137905000E+00,2.200000000000000E+00
1.130000000000000E+00,1.000000000000000E+00,3.204458621209400E+00,2.499856314039600E+00,2.499856314039600E+00,2.300000000000000E+00
1.140000000000000E+00,1.000000000000000E+00,3.101336088545400E+00,2.457095417849900E+00,2.457095417849900E+00,2.400000000000000E+00
1.150000000000000E+00,1.000000000000000E+00,2.989790339985000E+00,2.442474095777000E+00,2.442474095777000E+00,2.442474095777200E+00
1.160000000000000E+00,1.000000000000000E+00,2.879499184678800E+00,2.446470222697600E+00,2.446470222697600E+00,2.446470222697700E+00
1.170000000000000E+00,1.000000000000000E+00,2.780065097949600E+00,2.450049860528100E+00,2.450049860528100E+00,2.450049860528300E+00
1.180000000000000E+00,1.000000000000000E+00,2.700185226282500E+00,2.453212785604600E+00,2.453212785604600E+00,2.453212785604800E+00
1.190000000000000E+00,1.000000000000000E+00,2.646786204842900E+00,2.455958483252200E+00,2.455958483252200E+00,2.455958483252400E+00
1.200000000000000E+00,1.000000000000000E+00,2.624262911963200E+00,2.458286514303900E+00,2.458286514303900E+00,2.458286514304100E+00
1.210000000000000E+00,1.000000000000000E+00,2.634109373761800E+00,2.460196497298300E+00,2.460196497298300E+00,2.460196497298500E+00
1.220000000000000E+00,1.000000000000000E+00,2.674815134674000E+00,2.461688142783900E+00,2.461688142783900E+00,2.461688142784100E+00
1.230000000000000E+00,1.000000000000000E+00,2.741969638057900E+00,2.462761206493200E+00,2.462761206493200E+00,2.462761206493400E+00
1.240000000000000E+00,1.000000000000000E+00,2.828632549481800E+00,2.463415503601900E+00,2.463415503601900E+00,2.463415503602100E+00
1.250000000000000E+00,1.000000000000000E+00,2.926176022235400E+00,2.463650835413500E+00,2.463650835413500E+00,2.463650835413600E+00
1.260000000000000E+00,1.000000000000000E+00,3.024354012316400E+00,2.463651666243300E+00,2.463651666243300E+00,2.463651666243500E+00
1.270000000000000E+00,1.000000000000000E+00,3.113038049199800E+00,2.463651666243300E+00,2.463651666243300E+00,2.463651666243500E+00
1.280000000000000E+00,1.000000000000000E+00,3.183423784453800E+00,2.463651666243300E+00,2.463651666243300E+00,2.463651666243500E+00
1.290000000000000E+00,1.000000000000000E+00,3.228571001680800E+00,2.463651666243300E+00,2.463651666243300E+00,2.463651666243500E+00
1.300000000000000E+00,1.000000000000000E+00,3.244105500583600E+00,2.463651666243300E+00,2.463651666243300E+00,2.463651666243500E+00
1.310000000000000E+00,1.000000000000000E+00,3.228524950742100E+00,2.463651666243300E+00,2.463651666243300E+00,2.463651666243500E+00
1.320000000000000E+00,1.000000000000000E+00,3.183354942432900E+00,2.463651666243300E+00,2.463651666243300E+00,2.463651666243500E+00
1.330000000000000E+00,1.000000000000000E+00,3.113027233347700E+00,2.463651666243300E+00,2.463651666243300E+00,2.463651666243500E+00
1.340000000000000E+00,1.000000000000000E+00,3.024394787987200E+00,2.463651666243300E+00,2.463651666243300E+00,2.463651666243500E+00
1.350000000000000E+00,1.000000000000000E+00,2.926103726672300E+00,2.463651666243300E+00,2.463651666243300E+00,2.463651666243500E+00
1.360000000000000E+00,1.000000000000000E+00,2.827813504716500E+00,2.463651666243300E+00,2.463651666243300E+00,2.463651666243500E+00
1.370000000000000E+00,1.000000000000000E+00,2.739122662526700E+00,2.463651666243300E+00,2.463651666243300E+00,2.463651666243500E+00
1.380000000000000E+00,1.000000000000000E+00,2.668732232833400E+00,2.463651666243300E+00,2.463651666243300E+00,2.463651666243500E+00
1.390000000000000E+00,1.000000000000000E+00,2.623570809012400E+00,2.463651666243300E+00,2.463651666243300E+00,2.463651666243500E+00
1.400000000000000E+00,1.000000000000000E+00,2.608031704652800E+00,2.463651666243300E+00,2.463651666243300E+00,2.463651666243500E+00
1.410000000000000E+00,1.000000000000000E+00,2.623610033304900E+00,2.463651666243300E+00,2.463651666243300E+00,2.463651666243500E+00
1.420000000000000E+00,1.000000000000000E+00,2.668796993669600E+00,2.463651666243300E+00,2.463651666243300E+00,2.463651666243500E+00
1.430000000000000E+00,1.000000000000000E+00,2.739161244387300E+00,2.463651666243300E+00,2.463651666243300E+00,2.463651666243500E+00
1.440000000000000E+00,1.000000000000000E+00,2.827807560734900E+00,2.463651666243300E+00,2.463651666243300E+00,2.463651666243500E+00
1.450000000000000E+00,1.000000000000000E+00,2.926101828116200E+00,2.463651666243300E+00,2.463651666243300E+00,2.463651666243500E+00
1.460000000000000E+00,1.000000000000000E+00,3.024390943066500E+00,2.463651666243300E+00,2.463651666243300E+00,2.463651666243500E+00
1.470000000000000E+00,1.000000000000000E+00,3.113074974903000E+00,2.463651666243300E+00,2.463651666243300E+00,2.463651666243500E+00
1.480000000000000E+00,1.000000000000000E+00,3.183460709518400E+00,2.463651666243300E+00,2.463651666243300E+00,2.463651666243500E+00
1.490000000000000E+00,1.000000000000000E+00,3.228607925177900E+00,2.463651666243300E+00,2.463651666243300E+00,2.463651666243500E+00
1.500000000000000E+00,1.000000000000000E+00,3.244142423540800E+00,2.463651666243300E+00,2.463651666243300E+00,2.463651666243500E+00
