"time","TRes","heatCapacitor_T","switch_Controll"
0.768,299.066,25.9158,1
0.769,299.065,25.9152,1
0.77,299.065,25.9146,1
0.771,299.064,25.914,1
0.772,299.063,25.9134,1
0.773,299.063,25.9128,1
0.774,299.062,25.9123,1
0.775,299.062,25.9117,1
0.776,299.061,25.9111,1
0.777,299.06,25.9105,1
0.778,299.06,25.9099,1
0.779,299.059,25.9093,1
0.78,299.059,25.9087,1
0.78,299.059,25.9087,1
0.78,299.059,25.9087,1
0.781,299.058,25.9081,1
0.782,299.058,25.9075,1
0.783,299.057,25.9069,1
0.784,299.056,25.9063,1
0.785,299.056,25.9058,1
0.786,299.055,25.9052,1
0.787,299.055,25.9046,1
0.788,299.054,25.904,1
0.789,299.053,25.9034,1
0.79,299.053,25.9028,1
0.791,299.052,25.9022,1
0.792,299.052,25.9016,1
0.793,299.051,25.901,1
0.794,299.05,25.9004,1
0.795,299.05,25.8999,1
0.796,299.049,25.8993,1
0.797,299.049,25.8987,1
0.798,299.048,25.8981,1
0.799,299.047,25.8975,1
0.8,299.047,25.8969,1
0.8,299.047,25.8969,1
0.8,299.047,25.8969,1
0.801,299.046,25.8963,1
0.802,299.046,25.8957,1
0.803,299.045,25.8951,1
0.804,299.045,25.8945,1
0.805,299.044,25.894,1
0.806,299.043,25.8934,1
0.807,299.043,25.8928,1
0.808,299.042,25.8922,1
0.809,299.042,25.8916,1
0.81,299.041,25.891,1
0.811,299.04,25.8904,1
0.812,299.04,25.8898,1
0.813,299.039,25.8892,1
0.814,299.039,25.8887,1
0.815,299.038,25.8881,1
0.816,299.037,25.8875,1
0.817,299.037,25.8869,1
0.818,299.036,25.8863,1
0.819,299.036,25.8857,1
0.82,299.035,25.8851,1
0.82,299.035,25.8851,1
0.82,299.035,25.8851,1
0.821,299.035,25.8845,1
0.822,299.034,25.884,1
0.823,299.033,25.8834,1
0.824,299.033,25.8828,1
0.825,299.032,25.8822,1
0.826,299.032,25.8816,1
0.827,299.031,25.881,1
0.828,299.03,25.8804,1
0.829,299.03,25.8798,1
0.83,299.029,25.8792,1
0.831,299.029,25.8787,1
0.832,299.028,25.8781,1
0.833,299.027,25.8775,1
0.834,299.027,25.8769,1
0.835,299.026,25.8763,1
0.836,299.026,25.8757,1
0.837,299.025,25.8751,1
0.838,299.025,25.8745,1
0.839,299.024,25.874,1
0.84,299.023,25.8734,1
0.84,299.023,25.8734,1
0.84,299.023,25.8734,1
0.841,299.023,25.8728,1
0.842,299.022,25.8722,1
0.843,299.022,25.8716,1
0.844,299.021,25.871,1
0.845,299.02,25.8704,1
