"time","EGO","press","speed","throttle"
4.09000000,0.43002674,0.88792932,300.00000000,19.77499962
4.10000000,0.43141183,0.88747174,300.00000000,19.75000000
4.11000000,0.43286842,0.88700771,300.00000000,19.72500038
4.12000000,0.43437099,0.88653868,300.00000000,19.70000076
4.13000000,0.43590915,0.88606560,300.00000000,19.67499924
4.14000000,0.43746462,0.88558906,300.00000000,19.64999962
4.15000000,0.43903312,0.88510942,300.00000000,19.62500000
4.16000000,0.44061098,0.88462692,300.00000000,19.60000038
4.17000000,0.44218564,0.88414174,300.00000000,19.57500076
4.18000000,0.44375736,0.88365388,300.00000000,19.54999924
4.19000000,0.44532603,0.88316339,300.00000000,19.52499962
4.20000000,0.44689155,0.88267040,300.00000000,19.50000000
4.21000000,0.44845355,0.88217479,300.00000000,19.47500038
4.22000000,0.45000201,0.88167667,300.00000000,19.45000076
4.23000000,0.45153922,0.88117594,300.00000000,19.42499924
4.24000000,0.45306677,0.88067269,300.00000000,19.39999962
4.25000000,0.45458564,0.88016683,300.00000000,19.37500000
4.26000000,0.45609641,0.87965840,300.00000000,19.35000038
4.27000000,0.45759946,0.87914735,300.00000000,19.32500076
4.28000000,0.45909482,0.87863368,300.00000000,19.29999924
4.29000000,0.46058244,0.87811744,300.00000000,19.27499962
4.30000000,0.46206206,0.87759852,300.00000000,19.25000000
4.31000000,0.46353340,0.87707692,300.00000000,19.22500038
4.32000000,0.46499619,0.87655270,300.00000000,19.20000076
4.33000000,0.46645957,0.87602574,300.00000000,19.17499924
4.34000000,0.46792048,0.87549609,300.00000000,19.14999962
4.35000000,0.46937633,0.87496376,300.00000000,19.12500000
4.36000000,0.47082525,0.87442869,300.00000000,19.10000038
4.37000000,0.47227523,0.87389088,300.00000000,19.07500076
4.38000000,0.47372228,0.87335032,300.00000000,19.04999924
4.39000000,0.47516337,0.87280697,300.00000000,19.02499962
4.40000000,0.47660568,0.87226081,300.00000000,19.00000000
4.41000000,0.47804463,0.87171185,300.00000000,18.97500038
4.42000000,0.47947663,0.87116009,300.00000000,18.95000076
4.43000000,0.48090857,0.87060553,300.00000000,18.92499924
4.44000000,0.48233578,0.87004805,300.00000000,18.89999962
4.45000000,0.48375446,0.86948776,300.00000000,18.87500000
4.46000000,0.48517150,0.86892456,300.00000000,18.85000038
