"time","egsCarSpeed","egsGear","egsState","egsTargetGear","tShiftStart","valves_eds","valves_eds1","valves_eds2","valves_eds3","valves_eds4","valves_eds5","valves_mv1","valves_mv2","valves_mv3"
6.56,87.15549,2,2,3,5.83,0,0,0,0,0,0,0,0,0
6.59,87.42194,2,2,3,5.83,0,0,0,0,0,0,0,0,0
6.61,87.599304,2,2,3,5.83,0,0,0,0,0,0,0,0,0
6.63,87.776436,2,2,3,5.83,0,0,0,0,0,0,0,0,0
6.65,87.95335,2,2,3,5.83,0,0,0,0,0,0,0,0,0
6.68,88.21829,2,2,3,5.83,0,0,0,0,0,0,0,0,0
6.7,88.394646,2,2,3,5.83,0,0,0,0,0,0,0,0,0
6.72,88.57077,2,2,3,5.83,0,0,0,0,0,0,0,0,0
6.74,88.74668,2,2,3,5.83,0,0,0,0,0,0,0,0,0
6.77,89.010124,2,2,3,5.83,0,0,0,0,0,0,0,0,0
6.79,89.18547,2,2,3,5.83,0,0,0,0,0,0,0,0,0
6.81,89.3606,2,2,3,5.83,0,0,0,0,0,0,0,0,0
6.83,89.53551,2,2,3,5.83,0,0,0,0,0,0,0,0,0
6.86,89.79745,3,1,3,5.83,0,0,0,0,0,0,0,0,0
6.88,89.971794,3,1,3,5.83,0,0,0,0,0,0,0,0,0
6.9,90.14592,3,1,3,5.83,0,0,0,0,0,0,0,0,0
6.92,90.31983,3,1,3,5.83,0,0,0,0,0,0,0,0,0
6.95,90.58028,3,1,3,5.83,0,0,0,0,0,0,0,0,0
6.97,90.75363,3,1,3,5.83,0,0,0,0,0,0,0,0,0
6.99,90.92676,3,1,3,5.83,0,0,0,0,0,0,0,0,0
7.01,91.09967,3,1,3,5.83,0,0,0,0,0,0,0,0,0
7.03,91.27237,3,1,3,5.83,0,0,0,0,0,0,0,0,0
7.06,91.53098,3,1,3,5.83,0,0,0,0,0,0,0,0,0
7.08,91.70312,3,1,3,5.83,0,0,0,0,0,0,0,0,0
7.1,91.87504,3,1,3,5.83,0,0,0,0,0,0,0,0,0
7.12,92.04674,3,1,3,5.83,0,0,0,0,0,0,0,0,0
7.15,92.30387,3,1,3,5.83,0,0,0,0,0,0,0,0,0
7.17,92.47502,3,1,3,5.83,0,0,0,0,0,0,0,0,0
7.19,92.64595,3,1,3,5.83,0,0,0,0,0,0,0,0,0
7.21,92.81666,3,1,3,5.83,0,0,0,0,0,0,0,0,0
7.24,93.0723,3,1,3,5.83,0,0,0,0,0,0,0,0,0
7.26,93.24247,3,1,3,5.83,0,0,0,0,0,0,0,0,0
7.28,93.41241,3,1,3,5.83,0,0,0,0,0,0,0,0,0
7.3,93.58213,3,1,3,5.83,0,0,0,0,0,0,0,0,0
7.33,93.8363,3,1,3,5.83,0,0,0,0,0,0,0,0,0
7.35,94.00548,3,1,3,5.83,0,0,0,0,0,0,0,0,0
7.37,94.17444,3,1,3,5.83,0,0,0,0,0,0,0,0,0
7.39,94.34316,3,1,3,5.83,0,0,0,0,0,0,0,0,0
7.42,94.59586,3,1,3,5.83,0,0,0,0,0,0,0,0,0
7.44,94.76406,3,1,3,5.83,0,0,0,0,0,0,0,0,0
7.46,94.93204,3,1,3,5.83,0,0,0,0,0,0,0,0,0
7.48,95.09979,3,1,3,5.83,0,0,0,0,0,0,0,0,0
7.51,95.35102,3,1,3,5.83,0,0,0,0,0,0,0,0,0
7.53,95.518234,3,1,3,5.83,0,0,0,0,0,0,0,0,0
7.55,95.68523,3,1,3,5.83,0,0,0,0,0,0,0,0,0
7.57,95.852005,3,1,3,5.83,0,0,0,0,0,0,0,0,0
7.59,96.01856,3,1,3,5.83,0,0,0,0,0,0,0,0,0
7.62,96.268,3,1,3,5.83,0,0,0,0,0,0,0,0,0
7.64,96.43402,3,1,3,5.83,0,0,0,0,0,0,0,0,0
7.66,96.59983,3,1,3,5.83,0,0,0,0,0,0,0,0,0
7.68,96.76543,3,1,3,5.83,0,0,0,0,0,0,0,0,0
7.71,97.0134,3,1,3,5.83,0,0,0,0,0,0,0,0,0
7.73,97.17845,3,1,3,5.83,0,0,0,0,0,0,0,0,0
7.75,97.34328,3,1,3,5.83,0,0,0,0,0,0,0,0,0
7.77,97.5079,3,1,3,5.83,0,0,0,0,0,0,0,0,0
7.8,97.75442,3,1,3,5.83,0,0,0,0,0,0,0,0,0
7.82,97.918495,3,1,3,5.83,0,0,0,0,0,0,0,0,0
7.84,98.08237,3,1,3,5.83,0,0,0,0,0,0,0,0,0
7.86,98.24601,3,1,3,5.83,0,0,0,0,0,0,0,0,0
7.89,98.49108,3,1,3,5.83,0,0,0,0,0,0,0,0,0
7.91,98.654205,3,1,3,5.83,0,0,0,0,0,0,0,0,0
7.93,98.81709,3,1,3,5.83,0,0,0,0,0,0,0,0,0
7.95,98.97979,3,1,3,5.83,0,0,0,0,0,0,0,0,0
7.98,99.22341,3,1,3,5.83,0,0,0,0,0,0,0,0,0
8,99.38556,3,1,3,5.83,0,0,0,0,0,0,0,0,0
