"time","valves_mv1","valves_mv2","valves_mv3","valves_eds","valves_eds1","valves_eds2","valves_eds3","valves_eds4","valves_eds5","egsCarSpeed","egsState","egsGear","egsTargetGear","tShiftStart"
20.09,0,1,0,0,0,1,0,0,1,157.106,2,4,5,19.44
20.16,0,1,0,0,0,1,0,0,1,157.38,2,4,5,19.44
20.23,0,1,0,0,0,1,0,0,1,157.653,2,4,5,19.44
20.3,0,1,0,0,0,1,0,0,1,157.927,2,4,5,19.44
20.37,0,1,0,0,0,1,0,0,1,158.199,2,4,5,19.44
20.44,0,1,0,0,0,1,0,0,1,158.471,2,4,5,19.44
20.51,0,1,0,0,0,1,0,0,1,158.742,1,5,5,19.44
20.58,0,1,0,0,0,1,0,0,1,159.013,1,5,5,19.44
20.65,0,1,0,0,0,1,0,0,1,159.283,1,5,5,19.44
20.72,0,1,0,0,0,1,0,0,1,159.552,1,5,5,19.44
20.79,0,1,0,0,0,1,0,0,1,159.821,1,5,5,19.44
20.86,0,1,0,0,0,1,0,0,1,160.089,1,5,5,19.44
20.93,0,1,0,0,0,1,0,0,1,160.356,1,5,5,19.44
21,0,1,0,0,0,1,0,0,1,160.623,1,5,5,19.44
21.07,0,1,0,0,0,1,0,0,1,160.889,1,5,5,19.44
21.14,0,1,0,0,0,1,0,0,1,161.155,1,5,5,19.44
21.21,0,1,0,0,0,1,0,0,1,161.42,1,5,5,19.44
21.28,0,1,0,0,0,1,0,0,1,161.684,1,5,5,19.44
21.35,0,1,0,0,0,1,0,0,1,161.948,1,5,5,19.44
21.42,0,1,0,0,0,1,0,0,1,162.212,1,5,5,19.44
21.49,0,1,0,0,0,1,0,0,1,162.474,1,5,5,19.44
21.56,0,1,0,0,0,1,0,0,1,162.736,1,5,5,19.44
21.63,0,1,0,0,0,1,0,0,1,162.998,1,5,5,19.44
21.7,0,1,0,0,0,1,0,0,1,163.258,1,5,5,19.44
21.77,0,1,0,0,0,1,0,0,1,163.519,1,5,5,19.44
21.84,0,1,0,0,0,1,0,0,1,163.778,1,5,5,19.44
21.91,0,1,0,0,0,1,0,0,1,164.037,1,5,5,19.44
21.98,0,1,0,0,0,1,0,0,1,164.296,1,5,5,19.44
22.05,0,1,0,0,0,1,0,0,1,164.553,1,5,5,19.44
22.12,0,1,0,0,0,1,0,0,1,164.811,1,5,5,19.44
22.19,0,1,0,0,0,1,0,0,1,165.067,1,5,5,19.44
22.26,0,1,0,0,0,1,0,0,1,165.323,1,5,5,19.44
22.33,0,1,0,0,0,1,0,0,1,165.578,1,5,5,19.44
22.4,0,1,0,0,0,1,0,0,1,165.833,1,5,5,19.44
22.47,0,1,0,0,0,1,0,0,1,166.087,1,5,5,19.44
22.54,0,1,0,0,0,1,0,0,1,166.341,1,5,5,19.44
22.61,0,1,0,0,0,1,0,0,1,166.594,1,5,5,19.44
22.68,0,1,0,0,0,1,0,0,1,166.847,1,5,5,19.44
22.75,0,1,0,0,0,1,0,0,1,167.098,1,5,5,19.44
22.82,0,1,0,0,0,1,0,0,1,167.35,1,5,5,19.44
22.89,0,1,0,0,0,1,0,0,1,167.6,1,5,5,19.44
22.96,0,1,0,0,0,1,0,0,1,167.85,1,5,5,19.44
23.03,0,1,0,0,0,1,0,0,1,168.1,1,5,5,19.44
23.1,0,1,0,0,0,1,0,0,1,168.349,1,5,5,19.44
23.17,0,1,0,0,0,1,0,0,1,168.597,1,5,5,19.44
23.24,0,1,0,0,0,1,0,0,1,168.845,1,5,5,19.44
23.31,0,1,0,0,0,1,0,0,1,169.092,1,5,5,19.44
23.38,0,1,0,0,0,1,0,0,1,169.338,1,5,5,19.44
23.45,0,1,0,0,0,1,0,0,1,169.584,1,5,5,19.44
23.52,0,1,0,0,0,1,0,0,1,169.83,1,5,5,19.44
23.59,0,1,0,0,0,1,0,0,1,170.075,1,5,5,19.44
23.66,0,1,0,0,0,1,0,0,1,170.319,1,5,5,19.44
23.73,0,1,0,0,0,1,0,0,1,170.562,1,5,5,19.44
23.8,0,1,0,0,0,1,0,0,1,170.805,1,5,5,19.44
23.87,0,1,0,0,0,1,0,0,1,171.048,1,5,5,19.44
23.94,0,1,0,0,0,1,0,0,1,171.29,1,5,5,19.44
24.01,0,1,0,0,0,1,0,0,1,171.531,1,5,5,19.44
24.08,0,1,0,0,0,1,0,0,1,171.772,1,5,5,19.44
24.15,0,1,0,0,0,1,0,0,1,172.012,1,5,5,19.44
24.22,0,1,0,0,0,1,0,0,1,172.252,1,5,5,19.44
24.29,0,1,0,0,0,1,0,0,1,172.491,1,5,5,19.44
24.36,0,1,0,0,0,1,0,0,1,172.729,1,5,5,19.44
24.43,0,1,0,0,0,1,0,0,1,172.967,1,5,5,19.44
24.5,0,1,0,0,0,1,0,0,1,173.204,1,5,5,19.44
24.57,0,1,0,0,0,1,0,0,1,173.441,1,5,5,19.44
24.64,0,1,0,0,0,1,0,0,1,173.677,1,5,5,19.44
24.71,0,1,0,0,0,1,0,0,1,173.913,1,5,5,19.44
24.78,0,1,0,0,0,1,0,0,1,174.144,1,5,5,19.44
24.85,1,1,0,0,0,1,0,0,1,173.61,2,5,6,24.82
24.92,1,1,0,0,0,1,0,0,1,174.375,2,5,6,24.82
24.99,1,1,0,0,0,1,0,0,1,174.274,2,5,6,24.82
25.06,1,1,0,0,0,1,0,0,1,174.142,2,5,6,24.82
25.13,1,1,0,0,0,1,0,0,1,174.001,2,5,6,24.82
25.2,1,1,0,0,0,1,0,0,1,173.86,2,5,6,24.82
25.27,1,1,0,0,0,1,0,0,1,173.719,2,5,6,24.82
25.34,1,1,0,0,0,1,0,0,1,173.578,2,5,6,24.82
25.41,1,1,0,0,0,1,0,0,1,173.437,2,5,6,24.82
25.48,1,1,0,0,0,1,0,0,1,173.297,2,5,6,24.82
25.55,1,1,0,0,0,1,0,0,1,173.157,2,5,6,24.82
25.62,1,1,0,0,0,1,0,0,1,173.017,2,5,6,24.82
25.69,1,1,0,0,0,1,0,0,1,172.877,2,5,6,24.82
