"time","freqHz","T2","clutch1.phi_rel","clutch1.w_rel","clutch2.phi_rel","clutch2.w_rel","clutch3.phi_rel","clutch3.w_rel","J1.phi","J1.w"
0.77,0.2,0.4,-3.143132601517,-0.29690513832338,-1.3972452156751,9.9946567406854e-14,-0.67189110259018,-3.2781019893839,5.2122689197823,3.5750071277072
0.78,0.2,0.4,-3.1453077423124,-0.14207440184757,-1.3972452156751,9.9946567406854e-14,-0.70481323966315,-3.3062388954008,5.2473661976506,3.4483132972483
0.79,0.2,0.4,-3.1460636193014,-0.01401619061719,-1.3972452156751,9.9946567406854e-14,-0.73801414298877,-3.3338542054436,5.2813229779653,3.3478703960607
0.8,0.2,0.4,-3.1460724194669,9.5347286923481e-14,-1.3972452156751,9.9946567406854e-14,-0.7713619124254,-3.3333335417844,5.3146795475674,3.3333335417843
0.81,0.2,0.4,-3.1460724194669,9.5347286923481e-14,-1.3972452156751,9.9946567406854e-14,-0.80471262638641,-3.3385273749184,5.3480302615284,3.3385273749182
0.82,0.2,0.4,-3.1460724194669,9.5347286923481e-14,-1.3972452156751,9.9946567406854e-14,-0.83816550099187,-3.3535981869188,5.3814831361339,3.3535981869186
0.83,0.2,0.4,-3.1460724194669,9.5347286923481e-14,-1.3972452156751,9.9946567406854e-14,-0.87181272149391,-3.3770721373916,5.4151303566359,3.3770721373914
0.84,0.2,0.4,-3.1461217060824,-0.013155493382668,-1.3972452156751,9.9946567406854e-14,-0.90571095454557,-3.4022651149359,5.4490778763031,3.4154206083185
0.85,0.2,0.4,-3.1463736643673,-0.038327010161414,-1.3972452156751,9.9946567406854e-14,-0.93985604808625,-3.4266622229528,5.4834749281286,3.4649892331141
0.86,0.2,0.4,-3.1468937509756,-0.06514958048434,-1.3972452156751,9.9946567406854e-14,-0.97424236412388,-3.4505089797078,5.5183813307746,3.515658560192
0.87,0.2,0.4,-3.1476499912014,-0.084006061218486,-1.3972452156751,9.9946567406854e-14,-1.0088643802448,-3.4738016195216,5.5537595871213,3.55780768074
0.88,0.2,0.4,-3.1485181894546,-0.086221395651135,-1.3972452156751,9.9946567406854e-14,-1.0437165384407,-3.4965364601842,5.5894799435703,3.5827578558352
