"time","freqHz","T2","clutch1_phi_0rel","clutch1_w_0rel","clutch2_phi_0rel","clutch2_w_0rel","clutch3_phi_0rel","clutch3_w_0rel","J1_phi","J1_w"
0.1395,0.2,0.4,-1.25487,-7.64548,-0.0970572,-1.38796,0,0,1.35193,9.03344
0.141,0.2,0.4,-1.25487,-7.64548,-0.0970572,-1.38796,0,0,1.35193,9.03344
0.141,0.2,0.4,-1.26631,-7.60164,-0.0991502,-1.40273,0,0,1.36546,9.00437
0.1425,0.2,0.4,-1.26631,-7.60164,-0.0991502,-1.40273,0,0,1.36546,9.00437
0.1425,0.2,0.4,-1.27768,-7.55761,-0.101265,-1.4175,0,0,1.37895,8.97511
0.144,0.2,0.4,-1.27768,-7.55761,-0.101265,-1.4175,0,0,1.37895,8.97511
0.144,0.2,0.4,-1.28898,-7.51343,-0.103403,-1.43226,0,0,1.39239,8.94569
0.1455,0.2,0.4,-1.28898,-7.51343,-0.103403,-1.43226,0,0,1.39239,8.94569
0.1455,0.2,0.4,-1.30022,-7.46912,-0.105562,-1.44701,0,0,1.40578,8.91614
0.147,0.2,0.4,-1.30022,-7.46912,-0.105562,-1.44701,0,0,1.40578,8.91614
0.147,0.2,0.4,-1.31139,-7.42473,-0.107744,-1.46176,0,0,1.41913,8.88649
0.1485,0.2,0.4,-1.31139,-7.42473,-0.107744,-1.46176,0,0,1.41913,8.88649
0.1485,0.2,0.4,-1.32249,-7.38028,-0.109947,-1.47651,0,0,1.43244,8.85679
0.15,0.2,0.4,-1.32249,-7.38028,-0.109947,-1.47651,0,0,1.43244,8.85679
0.15,0.2,0.4,-1.33353,-7.33581,-0.112173,-1.49124,0,0,1.4457,8.82705
0.1515,0.2,0.4,-1.33353,-7.33581,-0.112173,-1.49124,0,0,1.4457,8.82705
0.1515,0.2,0.4,-1.3445,-7.29135,-0.114421,-1.50598,0,0,1.45892,8.79732
0.153,0.2,0.4,-1.3445,-7.29135,-0.114421,-1.50598,0,0,1.45892,8.79732
0.153,0.2,0.4,-1.35541,-7.24693,-0.116691,-1.52071,0,0,1.4721,8.76763
0.1545,0.2,0.4,-1.35541,-7.24693,-0.116691,-1.52071,0,0,1.4721,8.76763
0.1545,0.2,0.4,-1.36624,-7.20259,-0.118983,-1.53543,0,0,1.48523,8.73802
0.156,0.2,0.4,-1.36624,-7.20259,-0.118983,-1.53543,0,0,1.48523,8.73802
0.156,0.2,0.4,-1.37701,-7.15836,-0.121297,-1.55015,0,0,1.49831,8.7085
0.1575,0.2,0.4,-1.37701,-7.15836,-0.121297,-1.55015,0,0,1.49831,8.7085
0.1575,0.2,0.4,-1.38772,-7.11427,-0.123634,-1.56486,0,0,1.51135,8.67913
0.159,0.2,0.4,-1.38772,-7.11427,-0.123634,-1.56486,0,0,1.51135,8.67913
0.159,0.2,0.4,-1.39836,-7.07036,-0.125992,-1.57957,0,0,1.52435,8.64992
0.1605,0.2,0.4,-1.39836,-7.07036,-0.125992,-1.57957,0,0,1.52435,8.64992
0.1605,0.2,0.4,-1.40893,-7.02665,-0.128372,-1.59427,0,0,1.5373,8.62092
0.162,0.2,0.4,-1.40893,-7.02665,-0.128372,-1.59427,0,0,1.5373,8.62092
0.162,0.2,0.4,-1.41944,-6.98319,-0.130775,-1.60896,0,0,1.55021,8.59216
