    "time","PistonPosition","ExtendPressure","RetractPressure","ExtendFlow","RetractFlow"
      3.03, 23.428323, 35.464543, 16.857514,  21.23357,-10.539314
      3.04, 23.573973, 35.141873, 17.030235, 19.855721,-9.8776003
      3.05, 23.714879, 34.635547, 17.289534, 18.367775,-9.1688225
      3.06,  23.84939, 33.994718, 17.609125, 16.871388,-8.4572322
      3.07,  23.97637, 33.265544, 17.965658, 15.405904,-7.7579305
      3.08, 24.095126, 32.484603, 18.341541, 13.992188,-7.0789278
      3.09, 24.205308,  31.67977, 18.724053, 12.642723,-6.4255921
       3.1, 24.306814, 30.872166, 19.104016,  11.36692,-5.8026345
      3.11, 24.399734, 30.077954, 19.474873, 10.173892,-5.2133345
      3.12, 24.484286, 29.306409, 19.831851, 9.0557896, -4.660137
      3.13, 24.560805, 28.569809, 20.171846, 8.0275549,-4.1446474
      3.14, 24.629689, 27.871168, 20.492713, 7.0784867,-3.6676658
      3.15, 24.691398, 27.216678, 20.793301, 6.2135516,-3.2292915
      3.16, 24.746411, 26.607354, 21.072852, 5.4274567,-2.8289399
      3.17, 24.795207, 26.044339, 21.331146, 4.7191807, -2.465653
      3.18, 24.838296, 25.527637, 21.568347, 4.0834315,  -2.13793
      3.19, 24.876149, 25.056122, 21.784889, 3.5123503,-1.8441228
       3.2, 24.909233,  24.62927,  21.98139, 3.0096859,-1.5823562
      3.21,  24.93804, 24.244593, 22.158888, 2.5639501, -1.350269
      3.22, 24.962961, 23.888429, 22.342339, 2.0301287,-0.8841188
      3.23,  24.98397, 23.540739, 22.587864, 1.5021811,-0.3596121
      3.24, 25.000989, 23.219927,  22.88211, 1.0507724,0.089105751
      3.25, 25.014137, 22.940777, 23.207662,0.67400827,0.46356882
      3.26, 25.023703, 22.711066, 23.551218,0.37063313,0.76515339
      3.27,  25.03007, 22.534329, 23.901541,0.13586386,0.99535504
      3.28,  25.03368, 22.410365, 24.250053,-0.033702851, 1.1629472
      3.29, 25.034996, 22.337295,  24.58975,-0.14705395,  1.272003
       3.3, 25.034482, 22.310777, 24.915711,-0.21186922, 1.3308739
      3.31, 25.032576, 22.325569, 25.224651,-0.23603931,  1.348999
      3.32, 25.029678, 22.375683, 25.514723,-0.22770656, 1.3348809
      3.33, 25.026145, 22.454897, 25.785318,-0.19536568, 1.2945131
      3.34, 25.022278, 22.557057,  26.03678,-0.14558784, 1.2365818
      3.35, 25.018326, 22.676423, 26.270139,-0.08439045, 1.1677543
      3.36, 25.014485, 22.807701, 26.486983,-0.017845954, 1.0920493
