"time","outdata_3263","outdata_0031","rdy_next_next_cycle","rdy_next_cycle","rdy","c17_out_3263","c17_out_0031","b1_out","key_l_out","countup_out"
0.262,663136555,-911747836,0,0,0,1346429821,1982667819,7,122693985,6
0.263,663136555,-911747836,0,0,0,1346429821,1982667819,53,97782360,7
0.264,663136555,-911747836,0,0,0,1346429821,1982667819,4,48891180,8
0.265,663136555,-911747836,0,0,0,1346429821,1982667819,36,12222795,9
0.266,663136555,-911747836,0,0,0,1346429821,1982667819,58,204382290,10
0.267,663136555,-911747836,0,0,0,1346429821,1982667819,39,185313300,11
0.268,663136555,-911747836,0,0,0,1346429821,1982667819,25,46328325,12
0.269,663136555,-911747836,0,0,0,1346429821,1982667819,0,78690945,13
0.27,663136555,-911747836,1,0,0,1346429821,1982667819,42,86781600,14
0.271,663136555,-911747836,0,1,0,1346429821,1982667819,57,43390800,15
0.272,322197369,-1682120719,0,0,1,-855677219,-257263531,35,21695400,0
0.273,322197369,-1682120719,0,0,0,-855677219,-257263531,12,236557663,0
0.274,322197369,-1682120719,0,0,0,-855677219,-257263531,17,204679871,1
0.275,322197369,-1682120719,0,0,0,-855677219,-257263531,38,13413119,2
0.276,322197369,-1682120719,0,0,0,-855677219,-257263531,4,53652476,3
0.277,322197369,-1682120719,0,0,0,-855677219,-257263531,56,214609904,4
0.278,322197369,-1682120719,0,0,0,-855677219,-257263531,52,53133251,5
0.279,322197369,-1682120719,0,0,0,-855677219,-257263531,3,212533004,6
0.28,322197369,-1682120719,0,0,0,-855677219,-257263531,62,44825651,7
0.281,322197369,-1682120719,0,0,0,-855677219,-257263531,33,89651302,8
0.282,322197369,-1682120719,0,0,0,-855677219,-257263531,36,90169753,9
0.283,322197369,-1682120719,0,0,0,-855677219,-257263531,15,92243557,10
0.284,322197369,-1682120719,0,0,0,-855677219,-257263531,18,100538773,11
0.285,322197369,-1682120719,0,0,0,-855677219,-257263531,53,133719637,12
0.286,322197369,-1682120719,0,0,0,-855677219,-257263531,10,266443093,13
0.287,322197369,-1682120719,1,0,0,-855677219,-257263531,27,260466007,14
0.288,322197369,-1682120719,0,1,0,-855677219,-257263531,45,252496559,15
0.289,-2048388268,252359685,0,0,1,172808597,1128411700,7,236557663,0
0.29,-2048388268,252359685,0,0,0,172808597,1128411700,45,252496559,0
0.291,-2048388268,252359685,0,0,0,172808597,1128411700,27,260466007,1
0.292,-2048388268,252359685,0,0,0,172808597,1128411700,10,266443093,2
0.293,-2048388268,252359685,0,0,0,172808597,1128411700,53,133719637,3
0.294,-2048388268,252359685,0,0,0,172808597,1128411700,18,100538773,4
0.295,-2048388268,252359685,0,0,0,172808597,1128411700,15,92243557,5
0.296,-2048388268,252359685,0,0,0,172808597,1128411700,36,90169753,6
0.297,-2048388268,252359685,0,0,0,172808597,1128411700,33,89651302,7
0.298,-2048388268,252359685,0,0,0,172808597,1128411700,62,44825651,8
0.299,-2048388268,252359685,0,0,0,172808597,1128411700,3,212533004,9
0.3,-2048388268,252359685,0,0,0,172808597,1128411700,52,53133251,10
