time,y,z
8.94,0.0832436504693,0.576934326737
8.96,0.092822337004,0.380934326737
8.98,0.0984810235388,0.184934326737
9.0,0.100219710074,-0.0110656732633
9.02,0.0980383966082,-0.207065673263
9.06,0.0819157696777,-0.599065673263
9.08,0.0679744562125,-0.795065673263
9.1,0.0501131427472,-0.991065673263
9.14,0.00263051581665,-1.38306567326
9.16,0.0174305198032,0.873700745216
9.18,0.0329445347075,0.677700745216
9.22,0.0522125645162,0.285700745216
9.24,0.0559665794205,0.0897007452163
9.26,0.0558005943248,-0.106299254784
9.28,0.0517146092291,-0.302299254784
9.3,0.0437086241335,-0.498299254784
9.32,0.0317826390378,-0.694299254784
9.34,0.0159366539421,-0.890299254784
9.36,0.00276191174377,0.753275559076
9.38,0.0158674229253,0.557275559076
9.4,0.0250529341068,0.361275559076
9.42,0.0303184452883,0.165275559076
9.44,0.0316639564698,-0.0307244409241
9.46,0.0290894676514,-0.226724440924
9.48,0.0225949788329,-0.422724440924
9.5,0.0121804900144,-0.618724440924
9.52,0.00155357530291,0.564956669467
9.56,0.0163118420816,0.172956669467
9.58,0.0178109754709,-0.0230433305334
9.6,0.0153901088602,-0.219043330533
9.64,0.000873886057129,0.423717502261
9.66,0.00738823610236,0.227717502261
9.68,0.00998258614759,0.0317175022614
9.72,0.00341128623804,-0.360282497739
9.74,0.00317944212672,0.219788126857
9.76,0.00561520466386,0.023788126857
9.78,0.004130967201,-0.172211873143
9.8,0.0008417306733,0.213841095303
9.82,0.00315855257936,0.0178410953031
9.84,0.00155537448542,-0.178158904697
9.86,0.00158728167375,0.0623808216352
9.88,0.000874898106452,-0.133619178365
9.9,0.0010042739789,-0.0022143836158
9.92,0.00045070800716,0.0473392124482
9.94,0.000253523209697,0.0355044094951
9.96,0.000153248297669,-0.0223716927203
9.98,8.91718988927e-06,0.0211869424949
10.0,7.99941532494e-11,-1.00005269753e-10
