Time,y_multiSwitch,y_triggeredAdd,y_product,y_sum
5.46,4.0,5.0,9.0,3.0
5.46,4.0,5.0,9.0,3.0
5.46,4.0,5.0,9.0,3.0
5.46,4.0,5.0,9.0,3.0
5.46,4.0,5.0,9.0,3.0
5.46,4.0,5.0,9.0,3.0
5.46,4.0,5.0,9.0,3.0
5.46,4.0,5.0,9.0,3.0
5.46,4.0,5.0,9.0,3.0
5.47,4.0,5.0,9.0,3.0
5.47,4.0,5.0,9.0,3.0
5.47,4.0,5.0,9.0,3.0
5.47,4.0,5.0,9.0,3.0
5.47,4.0,5.0,9.0,3.0
5.47,4.0,5.0,9.0,3.0
5.47,4.0,5.0,9.0,3.0
5.47,4.0,5.0,9.0,3.0
5.47,4.0,5.0,9.0,3.0
5.47,4.0,5.0,9.0,3.0
5.48,4.0,5.0,9.0,3.0
5.48,4.0,5.0,9.0,3.0
5.48,4.0,5.0,9.0,3.0
5.48,4.0,5.0,9.0,3.0
5.48,4.0,5.0,9.0,3.0
5.48,4.0,5.0,9.0,3.0
5.48,4.0,5.0,9.0,3.0
5.48,4.0,5.0,9.0,3.0
5.48,4.0,5.0,9.0,3.0
5.48,4.0,5.0,9.0,3.0
5.49,4.0,5.0,9.0,3.0
5.49,4.0,5.0,9.0,3.0
5.49,4.0,5.0,9.0,3.0
5.49,4.0,5.0,9.0,3.0
5.49,4.0,5.0,9.0,3.0
5.49,4.0,5.0,9.0,3.0
5.49,4.0,5.0,9.0,3.0
5.49,4.0,5.0,9.0,3.0
5.49,4.0,5.0,9.0,3.0
5.49,4.0,5.0,9.0,3.0
5.5,4.0,5.0,9.0,3.0
5.5,4.0,5.0,9.0,3.0
5.5,4.0,5.0,9.0,3.0
5.5,4.0,5.0,9.0,3.0
5.5,4.0,5.0,9.0,3.0
5.5,6.0,5.0,9.0,3.0
5.5,6.0,5.0,9.0,3.0
5.5,6.0,5.0,9.0,3.0
5.5,6.0,5.0,9.0,3.0
5.5,6.0,5.0,9.0,3.0
5.51,6.0,5.0,9.0,3.0
5.51,6.0,5.0,9.0,3.0
5.51,6.0,5.0,9.0,3.0
5.51,6.0,5.0,9.0,3.0
5.51,6.0,5.0,9.0,3.0
5.51,6.0,5.0,9.0,3.0
5.51,6.0,5.0,9.0,3.0
5.51,6.0,5.0,9.0,3.0
5.51,6.0,5.0,9.0,3.0
5.51,6.0,5.0,9.0,3.0
5.52,6.0,5.0,9.0,3.0
5.52,6.0,5.0,9.0,3.0
5.52,6.0,5.0,9.0,3.0
5.52,6.0,5.0,9.0,3.0
5.52,6.0,5.0,9.0,3.0
5.52,6.0,5.0,9.0,3.0
5.52,6.0,5.0,9.0,3.0
5.52,6.0,5.0,9.0,3.0
5.52,6.0,5.0,9.0,3.0
5.52,6.0,5.0,9.0,3.0
5.53,6.0,5.0,9.0,3.0
5.53,6.0,5.0,9.0,3.0
5.53,6.0,5.0,9.0,3.0
5.53,6.0,5.0,9.0,3.0
