    "time",   "Noise","Noise_Filt","Noise_Filt_Sat",    "Sine","Sine_Filt","Sine_Filt_Quantized"
       3.3,-1.4094875,0.15401104,0.15401104,-0.31549139,0.63705625,       0.6
      3.32,-1.4094875,0.15401104,0.15401104,-0.35492485,0.59911185,       0.6
      3.34,-1.4094875,0.15401104,0.15401104,-0.39421635,0.56093017,       0.6
      3.36,-0.034304036,0.14202248,0.14202248,-0.43335016,0.52252647,       0.5
      3.38,-0.034304036,0.14202248,0.14202248,-0.47231064, 0.4839161,       0.5
       3.4,-2.1190074,-0.12995457,-0.12995457,-0.5110822,0.44511446,       0.4
      3.42,-2.1190074,-0.12995457,-0.12995457,-0.54964934,0.40613705,       0.4
      3.44,-2.1190074,-0.12995457,-0.12995457,-0.58799662,0.36699941,       0.4
      3.46,0.53088292,-0.057096478,-0.057096478,-0.62610872,0.32771718,       0.3
      3.48,0.53088292,-0.057096478,-0.057096478,-0.66397038,  0.288306,       0.3
       3.5,-0.68154542,-0.13943483,-0.13943483,-0.70156646,0.24878159,       0.2
      3.52,-0.68154542,-0.13943483,-0.13943483,-0.73888192,0.20915972,       0.2
      3.54,-0.68154542,-0.13943483,-0.13943483,-0.77590184,0.16945617,       0.2
      3.56,-2.2015568,-0.40765769,-0.40765769,-0.8126114,0.12968676,       0.1
      3.58,-2.2015568,-0.40765769,-0.40765769,-0.84899594,0.089867345,       0.1
       3.6,0.79189861,-0.28828748,-0.28828748,-0.88504089,0.050013788,       0.1
      3.62,0.79189861,-0.28828748,-0.28828748,-0.92073183,0.010141966,         0
      3.64,0.79189861,-0.28828748,-0.28828748,-0.95605449,-0.029732235,        -0
      3.66, 3.0115981,0.10257666,0.10257666,-0.99099475,-0.069592933,      -0.1
      3.68, 3.0115981,0.10257666,0.10257666,-1.0255386,-0.10942425,      -0.1
       3.7,0.91098351,0.21132076,0.21132076,-1.0596723,-0.14921031,      -0.1
      3.72,0.91098351,0.21132076,0.21132076,-1.0933821,-0.18893528,      -0.2
      3.74,0.91098351,0.21132076,0.21132076,-1.1266546,-0.22858332,      -0.2
      3.76,-0.24765215,0.16979821,0.16979821,-1.1594764,-0.26813864,      -0.3
      3.78,-0.24765215,0.16979821,0.16979821,-1.1918344,-0.30758548,      -0.3
       3.8, 4.3725825,0.70788111,       0.5,-1.2237158,-0.34690814,      -0.3
      3.82, 4.3725825,0.70788111,       0.5,-1.2551076,-0.38609093,      -0.4
      3.84, 4.3725825,0.70788111,       0.5,-1.2859975,-0.42511825,      -0.4
      3.86,-0.94622199,0.55420931,       0.5,-1.3163729,-0.46397455,      -0.5
      3.88,-0.94622199,0.55420931,       0.5,-1.3462219,-0.50264434,      -0.5
       3.9, 1.5738009,0.72322395,       0.5,-1.3755323,-0.54111222,      -0.5
      3.92, 1.5738009,0.72322395,       0.5,-1.4042926,-0.57936284,      -0.6
      3.94, 1.5738009,0.72322395,       0.5,-1.4324911,-0.61738097,      -0.6
      3.96, 1.0828659,0.82242099,       0.5,-1.4601167,-0.65515144,      -0.7
      3.98, 1.0828659,0.82242099,       0.5,-1.4871583,-0.69265921,      -0.7
         4, 1.0709257,0.91516565,       0.5, -1.513605,-0.72988931,      -0.7
      4.02, 1.0709257,0.91516565,       0.5,-1.5394463,-0.7668269,      -0.8
      4.04, 1.0709257,0.91516565,       0.5,-1.5646718,-0.80345725,      -0.8
      4.06, 0.1108298,0.88326109,       0.5,-1.5892715,-0.83976575,      -0.8
      4.08, 0.1108298,0.88326109,       0.5,-1.6132355,-0.87573792,      -0.9
       4.1,-1.9172413,0.59944288,       0.5,-1.6365542,-0.91135941,      -0.9
      4.12,-1.9172413,0.59944288,       0.5,-1.6592183,-0.94661601,      -0.9
      4.14,-1.9172413,0.59944288,       0.5,-1.6812188,-0.98149365,        -1
      4.16,0.95606718,0.68897913,       0.5,-1.7025468,-1.0159784,        -1
      4.18,0.95606718,0.68897913,       0.5,-1.7231938,-1.0500566,      -1.1
       4.2,0.32540041,0.69520523,       0.5,-1.7431515,-1.0837144,      -1.1
      4.22,0.32540041,0.69520523,       0.5,-1.7624121,-1.1169387,      -1.1
      4.24,0.32540041,0.69520523,       0.5,-1.7809676, -1.149716,      -1.1
      4.26,-1.9892025,0.41179466,0.41179466,-1.7988108,-1.1820332,      -1.2
      4.28,-1.9892025,0.41179466,0.41179466,-1.8159345,-1.2138776,      -1.2
       4.3, 3.9813925,0.88887898,       0.5,-1.8323319,-1.2452363,      -1.2
      4.32, 3.9813925,0.88887898,       0.5,-1.8479963,-1.2760969,      -1.3
      4.34, 3.9813925,0.88887898,       0.5,-1.8629216, -1.306447,      -1.3
      4.36, 2.2409875, 1.1245585,       0.5,-1.8771017,-1.3362745,      -1.3
      4.38, 2.2409875, 1.1245585,       0.5, -1.890531,-1.3655674,      -1.4
       4.4,0.080767537, 1.0784265,       0.5,-1.9032041,-1.3943142,      -1.4
      4.42,0.080767537, 1.0784265,       0.5, -1.915116,-1.4225032,      -1.4
      4.44,0.080767537, 1.0784265,       0.5,-1.9262619,-1.4501233,      -1.5
      4.46,-1.5918316, 0.8255262,       0.5,-1.9366372,-1.4771634,      -1.5
      4.48,-1.5918316, 0.8255262,       0.5, -1.946238,-1.5036127,      -1.5
       4.5,-0.85029216,0.67796337,       0.5,-1.9550602,-1.5294606,      -1.5
      4.52,-0.85029216,0.67796337,       0.5,-1.9631005,-1.5546968,      -1.6
      4.54,-0.85029216,0.67796337,       0.5,-1.9703556,-1.5793113,      -1.6
      4.56,-0.40613868,0.59329787,       0.5,-1.9768225,-1.6032941,      -1.6
      4.58,-0.40613868,0.59329787,       0.5,-1.9824987,-1.6266357,      -1.6
       4.6,0.014619021,0.56546035,       0.5, -1.987382,-1.6493267,      -1.6
      4.62,0.014619021,0.56546035,       0.5,-1.9914703,-1.6713581,      -1.7
      4.64,0.014619021,0.56546035,       0.5,-1.9947621,-1.6927211,      -1.7
      4.66,-1.1836107,  0.389236,  0.389236, -1.997256,-1.7134072,      -1.7
      4.68,-1.1836107,  0.389236,  0.389236, -1.998951, -1.733408,      -1.7
       4.7,-1.2272005,0.21637414,0.21637414,-1.9998465,-1.7527155,      -1.8
      4.72,-1.2272005,0.21637414,0.21637414,-1.9999421,-1.7713221,      -1.8
      4.74,-1.2272005,0.21637414,0.21637414,-1.9992377,-1.7892203,      -1.8
      4.76,-0.68961045,0.11935413,0.11935413,-1.9977336, -1.806403,      -1.8
      4.78,-0.68961045,0.11935413,0.11935413,-1.9954305,-1.8228632,      -1.8
       4.8,-1.2401243,-0.041629118,-0.041629118,-1.9923292,-1.8385945,      -1.8
      4.82,-1.2401243,-0.041629118,-0.041629118, -1.988431,-1.8535904,      -1.9
      4.84,-1.2401243,-0.041629118,-0.041629118,-1.9837375, -1.867845,      -1.9
      4.86, 1.6768266,0.17005566,0.17005566,-1.9782505,-1.8813526,      -1.9
      4.88, 1.6768266,0.17005566,0.17005566,-1.9719723,-1.8941078,      -1.9
       4.9,-1.2555331,0.0046112341,0.0046112341,-1.9649052,-1.9061054,      -1.9
      4.92,-1.2555331,0.0046112341,0.0046112341,-1.9570523,-1.9173408,      -1.9
      4.94,-1.2555331,0.0046112341,0.0046112341,-1.9484165,-1.9278094,      -1.9
      4.96,0.91781965,0.11910813,0.11910813,-1.9390014,-1.9375069,      -1.9
      4.98,0.91781965,0.11910813,0.11910813,-1.9288107,-1.9464296,      -1.9
         5, 3.0796821,0.49811299,0.49811299,-1.9178485,-1.9545738,        -2
      5.02, 3.0796821,0.49811299,0.49811299,-1.9061193,-1.9619363,        -2
      5.04, 3.0796821,0.49811299,0.49811299,-1.8936276,-1.9685141,        -2
      5.06,-1.3076692,0.30974869,0.30974869,-1.8803784,-1.9743047,        -2
      5.08,-1.3076692,0.30974869,0.30974869,-1.8663772,-1.9793056,        -2
       5.1,0.74254699,0.38707963,0.38707963,-1.8516294,-1.9835149,        -2
      5.12,0.74254699,0.38707963,0.38707963,-1.8361409,-1.9869309,        -2
      5.14,0.74254699,0.38707963,0.38707963,-1.8199181,-1.9895523,        -2
      5.16,-0.84030328,0.26268774,0.26268774,-1.8029673,-1.9913779,        -2
      5.18,-0.84030328,0.26268774,0.26268774,-1.7852954, -1.992407,        -2
