"time","C1.v","C3.v","C5.v","L1.i","L2.i"
4.28816854076085E+01,5.01432540710081E-01,4.95796776435836E-01,5.01433641214600E-01,5.01677367453089E-01,4.97451634056316E-01
4.34538718503359E+01,5.00088176479108E-01,4.96719598450803E-01,5.00088666510878E-01,5.03692720757576E-01,4.94390278663174E-01
4.40260582930632E+01,4.98850909083908E-01,4.98431635216992E-01,4.98850754319085E-01,5.04522644495144E-01,4.93129726366037E-01
4.45982447357905E+01,4.98041850822103E-01,5.00397395291915E-01,4.98041178256374E-01,5.04060047019377E-01,4.93832588533391E-01
4.51704311785179E+01,4.97836139704062E-01,5.02065489943685E-01,4.97835188900612E-01,5.02554589213209E-01,4.96119565270634E-01
4.57426176212452E+01,4.98230213753623E-01,5.03017926334859E-01,4.98229264941828E-01,5.00511072570312E-01,4.99223810180882E-01
4.63148040639725E+01,4.99060153475862E-01,5.03069120797885E-01,4.99059452458063E-01,4.98529359464916E-01,5.02234101759147E-01
4.68869905066999E+01,5.00061200347168E-01,5.02293009731857E-01,5.00060899619867E-01,4.97134408323543E-01,5.04353023337694E-01
4.74591769494272E+01,5.00948499232346E-01,5.00977998421169E-01,5.00948629082537E-01,4.96642911694443E-01,5.05099536584593E-01
4.80313633921545E+01,5.01495372753594E-01,4.99528833910357E-01,5.01495847018683E-01,4.97098699082502E-01,5.04407096176940E-01
4.86035498348819E+01,5.01588398737818E-01,4.98346847472815E-01,5.01589050273819E-01,4.98287525895240E-01,5.02601174517545E-01
4.91757362776092E+01,5.01246788081913E-01,4.97722754540353E-01,5.01247421615795E-01,4.99819572314755E-01,5.00273935822828E-01
4.97479227203366E+01,5.00604339904026E-01,4.97769516448858E-01,5.00604786640221E-01,5.01250966093495E-01,4.98099636263349E-01
5.03201091630639E+01,4.99862447352792E-01,4.98409360133104E-01,4.99862606845020E-01,5.02207971654179E-01,4.96645978690989E-01
5.11789452610550E+01,4.99036106636879E-01,4.99855030936341E-01,4.99035857885245E-01,5.02403146638859E-01,4.96349609703521E-01
5.20377813590461E+01,4.98888991820505E-01,5.01371740682093E-01,4.98888521936751E-01,5.00941858396803E-01,4.98569413034132E-01
5.28966174570372E+01,4.99395499932012E-01,5.01261348346951E-01,4.99395181133358E-01,4.99900686250477E-01,5.00150940991991E-01
5.37554535550283E+01,5.00092108326468E-01,5.00839438393906E-01,5.00092034978465E-01,4.98789595144074E-01,5.01838662300994E-01
5.46142896530194E+01,5.00584436209089E-01,5.00024669689350E-01,5.00584596927389E-01,4.98618012330533E-01,5.02099240317232E-01
5.54731257510105E+01,5.00666411667931E-01,4.99265156373776E-01,5.00666683683940E-01,4.99330551304518E-01,5.01016837778413E-01
5.63319618490016E+01,5.00355835987321E-01,4.99003459622479E-01,5.00356050056377E-01,5.00360266533696E-01,4.99452679341933E-01
5.71907979469926E+01,4.99869868089426E-01,4.99385915355995E-01,4.99869900092972E-01,5.01030701181768E-01,4.98434317049244E-01
5.80496340449837E+01,4.99518929996837E-01,5.00123238712419E-01,4.99518778011608E-01,5.00967039457930E-01,4.98531075960684E-01
5.89084701429748E+01,4.99516975352748E-01,5.00695178782826E-01,4.99516758351669E-01,5.00292120632831E-01,4.99556323070236E-01
5.97673062409659E+01,4.99833816069738E-01,5.00735600469502E-01,4.99833685876639E-01,4.99510769356221E-01,5.00743200010870E-01
6.00000000000000E+01,5.00223110391721E-01,5.00467877824549E-01,5.00223122603801E-01,4.98927786923115E-01,5.01628730371061E-01
