    "time",   "der_p",   "der_T"
     0.918, 1251.9863,  1.548305
      0.92,  1251.983, 1.5482504
     0.922, 1251.9798, 1.5481959
     0.924, 1251.9765, 1.5481413
     0.926, 1251.9733, 1.5480868
     0.928,   1251.97, 1.5480322
      0.93, 1251.9667, 1.5479777
     0.932, 1251.9635, 1.5479232
     0.934, 1251.9602, 1.5478686
     0.936,  1251.957, 1.5478141
     0.938, 1251.9537, 1.5477596
      0.94, 1251.9505,  1.547705
     0.942, 1251.9472, 1.5476505
     0.944, 1251.9439,  1.547596
     0.946, 1251.9407, 1.5475415
     0.948, 1251.9374,  1.547487
      0.95, 1251.9342, 1.5474325
     0.952, 1251.9309, 1.5473779
     0.954, 1251.9277, 1.5473234
     0.956, 1251.9244, 1.5472689
     0.958, 1251.9212, 1.5472144
      0.96, 1251.9179, 1.5471599
     0.962, 1251.9147, 1.5471055
     0.964, 1251.9114,  1.547051
     0.966, 1251.9081, 1.5469965
     0.968, 1251.9049,  1.546942
      0.97, 1251.9016, 1.5468875
     0.972, 1251.8984,  1.546833
     0.974, 1251.8951, 1.5467786
     0.976, 1251.8919, 1.5467241
     0.978, 1251.8886, 1.5466696
      0.98, 1251.8854, 1.5466151
     0.982, 1251.8821, 1.5465607
     0.984, 1251.8789, 1.5465062
     0.986, 1251.8756, 1.5464518
     0.988, 1251.8724, 1.5463973
      0.99, 1251.8691, 1.5463429
     0.992, 1251.8659, 1.5462884
     0.994, 1251.8626,  1.546234
     0.996, 1251.8594, 1.5461795
     0.998, 1251.8561, 1.5461251
         1, 1251.8528, 1.5460706
