time,Out1[1],Out1[2],Out2,Out3,Out4,Out5,Out6[1],Out6[2],Out6[3],Out6[4],Out6[5],Out6[6],Out7,Out8.signal1,Out8.signal2,Out9,Out10,Out11
6.98,1.0,0.641778165875,7.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.578439764386,0.641778165875,1.0,0.511401322404,0.115687952877,6.0
6.99,1.0,0.649414852769,7.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.578439764386,0.649414852769,1.0,0.511401322404,0.115687952877,6.0
7.0,1.0,0.656986598719,7.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.578439764386,0.656986598719,1.0,0.511401322404,0.115687952877,6.0
7.01,1.0,0.664492646556,7.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.578439764386,0.664492646556,1.0,0.511401322404,0.131397319743,6.0
7.02,1.0,0.671932245683,8.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.578439764386,0.671932245683,1.0,0.511401322404,0.131397319743,6.0
7.03,1.0,0.679304652145,8.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.578439764386,0.679304652145,1.0,0.511401322404,0.131397319743,6.0
7.04,1.0,0.686609128708,8.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.578439764386,0.686609128708,1.0,0.511401322404,0.131397319743,6.0
7.05,1.0,0.69384494493,8.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.578439764386,0.69384494493,1.0,0.686609128718,0.131397319743,6.0
7.06,1.0,0.701011377236,8.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.578439764386,0.701011377236,1.0,0.686609128718,0.131397319743,6.0
7.07,1.0,0.708107708988,8.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.578439764386,0.708107708988,1.0,0.686609128718,0.131397319743,6.0
7.08,1.0,0.715133230559,8.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.578439764386,0.715133230559,1.0,0.686609128718,0.131397319743,6.0
7.09,1.0,0.722087239404,8.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.578439764386,0.722087239404,1.0,0.686609128718,0.131397319743,6.0
7.1,1.0,0.728969040126,8.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.578439764386,0.728969040126,1.0,0.686609128718,0.131397319743,6.0
7.11,1.0,0.735777944551,8.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.578439764386,0.735777944551,1.0,0.686609128718,0.145793808025,6.0
7.12,1.0,0.742513271796,8.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.578439764386,0.742513271796,1.0,0.686609128718,0.145793808025,6.0
7.13,1.0,0.749174348332,8.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.578439764386,0.749174348332,1.0,0.686609128718,0.145793808025,6.0
7.14,1.0,0.755760508057,9.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.578439764386,0.755760508057,1.0,0.686609128718,0.145793808025,6.0
7.15,1.0,0.762271092361,9.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.578439764386,0.762271092361,1.0,0.686609128718,0.145793808025,6.0
7.16,1.0,0.768705450192,9.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.578439764386,0.768705450192,1.0,0.686609128718,0.145793808025,6.0
7.17,1.0,0.775062938118,9.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.578439764386,0.775062938118,1.0,0.686609128718,0.145793808025,6.0
7.18,1.0,0.781342920396,9.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,0.578439764386,0.781342920396,1.0,0.686609128718,0.145793808025,6.0
