"time","egsCarSpeed","egsGear","egsTargetGear","valves_0eds","valves_0eds1","valves_0eds2","valves_0eds3","valves_0eds4","valves_0eds5","valves_0mv1","valves_0mv2","valves_0mv3"
26.4453,161.965,6,6,0,0,1,0,0,1,1,1,0
26.4788,161.965,6,6,0,0,1,0,0,1,1,1,0
26.4788,161.093,6,6,0,0,1,0,0,1,1,1,0
26.5124,161.093,6,6,0,0,1,0,0,1,1,1,0
26.5124,160.194,6,6,0,0,1,0,0,1,1,1,0
26.546,160.194,6,6,0,0,1,0,0,1,1,1,0
26.546,159.295,6,6,0,0,1,0,0,1,1,1,0
26.5795,159.295,6,6,0,0,1,0,0,1,1,1,0
26.5795,158.397,6,6,0,0,1,0,0,1,1,1,0
26.6131,158.397,6,6,0,0,1,0,0,1,1,1,0
26.6131,157.499,6,6,0,0,1,0,0,1,1,1,0
26.6466,157.499,6,6,0,0,1,0,0,1,1,1,0
26.6466,156.602,6,6,0,0,1,0,0,1,1,1,0
26.6802,156.602,6,6,0,0,1,0,0,1,1,1,0
26.6802,155.705,6,6,0,0,1,0,0,1,1,1,0
26.7138,155.705,6,6,0,0,1,0,0,1,1,1,0
26.7138,154.809,6,6,0,0,1,0,0,1,1,1,0
26.7473,154.809,6,6,0,0,1,0,0,1,1,1,0
26.7473,153.913,6,6,0,0,1,0,0,1,1,1,0
26.7809,153.913,6,6,0,0,1,0,0,1,1,1,0
26.7809,153.018,6,6,0,0,1,0,0,1,1,1,0
26.8144,153.018,6,6,0,0,1,0,0,1,1,1,0
26.8144,152.123,6,6,0,0,1,0,0,1,1,1,0
26.848,152.123,6,6,0,0,1,0,0,1,1,1,0
26.848,151.228,6,6,0,0,1,0,0,1,1,1,0
26.8816,151.228,6,6,0,0,1,0,0,1,1,1,0
26.8816,150.334,6,6,0,0,1,0,0,1,1,1,0
26.9151,150.334,6,6,0,0,1,0,0,1,1,1,0
26.9151,149.441,6,6,0,0,1,0,0,1,1,1,0
26.9487,149.441,6,6,0,0,1,0,0,1,1,1,0
26.9487,148.547,6,6,0,0,1,0,0,1,1,1,0
26.9822,148.547,6,6,0,0,1,0,0,1,1,1,0
26.9822,147.654,6,6,0,0,1,0,0,1,1,1,0
27.0158,147.654,6,6,0,0,1,0,0,1,1,1,0
27.0158,146.762,6,6,0,0,1,0,0,1,1,1,0
27.0494,146.762,6,6,0,0,1,0,0,1,1,1,0
27.0494,145.87,6,6,0,0,1,0,0,1,1,1,0
27.0829,145.87,6,6,0,0,1,0,0,1,1,1,0
27.0829,144.978,6,6,0,0,1,0,0,1,1,1,0
27.1165,144.978,6,6,0,0,1,0,0,1,1,1,0
27.1165,144.087,6,6,0,0,1,0,0,1,1,1,0
27.15,144.087,6,6,0,0,1,0,0,1,1,1,0
27.15,143.196,6,6,0,0,1,0,0,1,1,1,0
27.1836,143.196,6,6,0,0,1,0,0,1,1,1,0
27.1836,142.306,6,6,0,0,1,0,0,1,1,1,0
27.2172,142.306,6,6,0,0,1,0,0,1,1,1,0
27.2172,141.416,6,6,0,0,1,0,0,1,1,1,0
27.2507,141.416,6,6,0,0,1,0,0,1,1,1,0
27.2507,140.526,6,6,0,0,1,0,0,1,1,1,0
27.2843,140.526,6,6,0,0,1,0,0,1,1,1,0
27.2843,139.637,6,6,0,0,1,0,0,1,1,1,0
27.3178,139.637,6,6,0,0,1,0,0,1,1,1,0
27.3178,138.748,6,6,0,0,1,0,0,1,1,1,0
27.3514,138.748,6,6,0,0,1,0,0,1,1,1,0
27.3514,137.86,6,6,0,0,1,0,0,1,1,1,0
27.385,137.86,6,6,0,0,1,0,0,1,1,1,0
27.385,136.972,6,6,0,0,1,0,0,1,1,1,0
27.4185,136.972,6,6,0,0,1,0,0,1,1,1,0
27.4185,136.084,6,6,0,0,1,0,0,1,1,1,0
27.4521,136.084,6,6,0,0,1,0,0,1,1,1,0
27.4521,135.197,6,6,0,0,1,0,0,1,1,1,0
27.4856,135.197,6,6,0,0,1,0,0,1,1,1,0
27.4856,134.31,6,6,0,0,1,0,0,1,1,1,0
27.5192,134.31,6,6,0,0,1,0,0,1,1,1,0
27.5192,133.424,6,6,0,0,1,0,0,1,1,1,0
27.5528,133.424,6,6,0,0,1,0,0,1,1,1,0
27.5528,132.538,6,6,0,0,1,0,0,1,1,1,0
27.5863,132.538,6,6,0,0,1,0,0,1,1,1,0
27.5863,131.652,6,6,0,0,1,0,0,1,1,1,0
27.6199,131.652,6,6,0,0,1,0,0,1,1,1,0
27.6199,130.767,6,6,0,0,1,0,0,1,1,1,0
27.6534,130.767,6,6,0,0,1,0,0,1,1,1,0
27.6534,129.882,6,6,0,0,1,0,0,1,1,1,0
27.687,129.882,6,6,0,0,1,0,0,1,1,1,0
27.687,128.997,6,6,0,0,1,0,0,1,1,1,0
27.7206,128.997,6,6,0,0,1,0,0,1,1,1,0
27.7206,128.113,6,6,0,0,1,0,0,1,1,1,0
27.7541,128.113,6,6,0,0,1,0,0,1,1,1,0
27.7541,127.229,6,6,0,0,1,0,0,1,1,1,0
27.7877,127.229,6,6,0,0,1,0,0,1,1,1,0
27.7877,126.346,6,6,0,0,1,0,0,1,1,1,0
27.8212,126.346,6,6,0,0,1,0,0,1,1,1,0
27.8212,125.463,6,6,0,0,1,0,0,1,1,1,0
27.8548,125.463,6,6,0,0,1,0,0,1,1,1,0
27.8548,124.58,6,6,0,0,1,0,0,1,1,1,0
27.8884,124.58,6,6,0,0,1,0,0,1,1,1,0
27.8884,123.698,6,6,0,0,1,0,0,1,1,1,0
27.9219,123.698,6,6,0,0,1,0,0,1,1,1,0
27.9219,122.816,6,6,0,0,1,0,0,1,1,1,0
27.9555,122.816,6,6,0,0,1,0,0,1,1,1,0
27.9555,121.935,6,6,0,0,1,0,0,1,1,1,0
27.989,121.935,6,6,0,0,1,0,0,1,1,1,0
27.989,121.054,6,6,0,0,1,0,0,1,1,1,0
28.0226,121.054,6,6,0,0,1,0,0,1,1,1,0
28.0226,120.173,6,6,0,0,1,0,0,1,1,1,0
28.0562,120.173,6,6,0,0,1,0,0,1,1,1,0
28.0562,119.293,6,6,0,0,1,0,0,1,1,1,0
28.0897,119.293,6,6,0,0,1,0,0,1,1,1,0
28.0897,118.413,6,6,0,0,1,0,0,1,1,1,0
28.1233,118.413,6,6,0,0,1,0,0,1,1,1,0
28.1233,117.533,6,6,0,0,1,0,0,1,1,1,0
28.1568,117.533,6,6,0,0,1,0,0,1,1,1,0
28.1568,116.654,6,6,0,0,1,0,0,1,1,1,0
28.1904,116.654,6,6,0,0,1,0,0,1,1,1,0
28.1904,115.775,6,6,0,0,1,0,0,1,1,1,0
28.224,115.775,6,6,0,0,1,0,0,1,1,1,0
28.224,114.897,6,6,0,0,1,0,0,1,1,1,0
28.2575,114.897,6,6,0,0,1,0,0,1,1,1,0
28.2575,114.019,6,6,0,0,1,0,0,1,1,1,0
28.2911,114.019,6,6,0,0,1,0,0,1,1,1,0
28.2911,113.141,6,6,0,0,1,0,0,1,1,1,0
28.3246,113.141,6,6,0,0,1,0,0,1,1,1,0
28.3246,112.264,6,6,0,0,1,0,0,1,1,1,0
28.3582,112.264,6,6,0,0,1,0,0,1,1,1,0
28.3582,111.387,6,6,0,0,1,0,0,1,1,1,0
28.3918,111.387,6,6,0,0,1,0,0,1,1,1,0
28.3918,110.51,6,6,0,0,1,0,0,1,1,1,0
28.4253,110.51,6,6,0,0,1,0,0,1,1,1,0
28.4253,109.634,6,6,0,0,1,0,0,1,1,1,0
28.4589,109.634,6,6,0,0,1,0,0,1,1,1,0
28.4589,108.758,6,6,0,0,1,0,0,1,1,1,0
28.4924,108.758,6,6,0,0,1,0,0,1,1,1,0
28.4924,107.882,6,6,0,0,1,0,0,1,1,1,0
28.526,107.882,6,6,0,0,1,0,0,1,1,1,0
28.526,107.007,6,6,0,0,1,0,0,1,1,1,0
28.5596,107.007,6,6,0,0,1,0,0,1,1,1,0
28.5596,106.132,6,6,0,0,1,0,0,1,1,1,0
28.5931,106.132,6,6,0,0,1,0,0,1,1,1,0
28.5931,105.257,6,6,0,0,1,0,0,1,1,1,0
28.6267,105.257,6,6,0,0,1,0,0,1,1,1,0
28.6267,104.383,6,6,0,0,1,0,0,1,1,1,0
28.6602,104.383,6,6,0,0,1,0,0,1,1,1,0
28.6602,103.509,6,6,0,0,1,0,0,1,1,1,0
28.6938,103.509,6,6,0,0,1,0,0,1,1,1,0
28.6938,102.635,6,6,0,0,1,0,0,1,1,1,0
28.7274,102.635,6,6,0,0,1,0,0,1,1,1,0
28.7274,101.762,6,6,0,0,1,0,0,1,1,1,0
28.7609,101.762,6,6,0,0,1,0,0,1,1,1,0
28.7609,100.889,6,6,0,0,1,0,0,1,1,1,0
28.7945,100.889,6,6,0,0,1,0,0,1,1,1,0
28.7945,100.016,6,6,0,0,1,0,0,1,1,1,0
28.828,100.016,6,6,0,0,1,0,0,1,1,1,0
28.828,99.144,6,6,0,0,1,0,0,1,1,1,0
28.8616,99.144,6,6,0,0,1,0,0,1,1,1,0
28.8616,98.272,6,6,0,0,1,0,0,1,1,1,0
28.8952,98.272,6,6,0,0,1,0,0,1,1,1,0
28.8952,97.4,6,6,0,0,1,0,0,1,1,1,0
28.9287,97.4,6,6,0,0,1,0,0,1,1,1,0
28.9287,96.528,6,6,0,0,1,0,0,1,1,1,0
28.9623,96.528,6,6,0,0,1,0,0,1,1,1,0
28.9623,95.657,6,6,0,0,1,0,0,1,1,1,0
28.9958,95.657,6,6,0,0,1,0,0,1,1,1,0
28.9958,94.786,6,6,0,0,1,0,0,1,1,1,0
