"time","U@resistance","I@variable_resistance"
5.245579568e-005,7.029803593,-2.946473967e-006
5.265225933e-005,6.757097142,-2.814395476e-006
5.284872299e-005,6.349981989,-2.647682955e-006
5.304518664e-005,5.814715896,-2.456327423e-006
5.324165029e-005,5.161648283,-2.250635331e-006
5.343811395e-005,4.404888561,-2.040786651e-006
5.36345776e-005,3.561831613,-1.836413003e-006
5.383104126e-005,2.65256091,-1.646213031e-006
5.402750491e-005,1.699154622,-1.477620066e-006
5.422396857e-005,0.7249222746,-1.336534197e-006
5.442043222e-005,-0.246394402,-1.227128842e-006
5.461689587e-005,-1.191428869,-1.151736968e-006
5.481335953e-005,-2.087969612,-1.110820514e-006
5.500982318e-005,-2.926793167,-0.00615849144
5.520628684e-005,-3.907865251,-0.03529491027
5.540275049e-005,-4.78055251,-0.06424735557
5.559921415e-005,-5.534883742,-0.09093843747
5.57956778e-005,-6.163311921,-0.1152242042
5.599214145e-005,-6.660735593,-0.1370073892
5.618860511e-005,-7.024479453,-0.1562370398
5.638506876e-005,-7.254231732,-0.1729073182
5.658153242e-005,-7.351948258,-0.1870556711
5.677799607e-005,-7.321720927,-0.1987603143
5.697445972e-005,-7.169616634,-0.208137159
5.717092338e-005,-6.903489381,-0.2153362191
5.736738703e-005,-6.532769554,-0.2205375958
5.756385069e-005,-6.068237465,-0.2239471453
5.776031434e-005,-5.521782807,-0.2257918913
5.7956778e-005,-4.90615628,-0.2263152805
5.815324165e-005,-4.234719224,-0.2257724072
5.83497053e-005,-3.521192145,-0.224425206
5.854616896e-005,-2.779403555,-0.2225376637
5.874263261e-005,-2.023062698,-0.2203714787
5.893909627e-005,-1.265527241,-0.2181816249
5.913555992e-005,-0.5195854349,-0.2162122021
5.933202358e-005,0.2027191956,-0.2146930766
5.952848723e-005,0.8902616409,-0.2138365774
5.972495088e-005,1.532985771,-0.2138346191
5.992141454e-005,2.12202717,-0.2148563635
6.011787819e-005,2.668550665,-2.864069976e-007
6.031434185e-005,3.24072202,-7.554119372e-007
6.05108055e-005,3.833476405,-1.206604387e-006
6.070726916e-005,4.430680946,-1.627304039e-006
6.090373281e-005,5.014240765,-2.00636932e-006
6.110019646e-005,5.564863493,-2.334563943e-006
6.129666012e-005,6.062881368,-2.60483867e-006
6.149312377e-005,6.489093992,-2.812519037e-006
6.168958743e-005,6.825597733,-2.955394365e-006
6.188605108e-005,7.056564802,-3.033706481e-006
6.208251473e-005,7.168940801,-3.05004155e-006
6.227897839e-005,7.153031868,-3.009131812e-006
6.247544204e-005,7.002957971,-2.917577744e-006
6.26719057e-005,6.716954688,-2.783504028e-006
6.286836935e-005,6.297512273,-2.616165315e-006
6.306483301e-005,5.751347785,-2.425519135e-006
6.326129666e-005,5.089212804,-2.22178453e-006
6.345776031e-005,4.325546167,-2.015005026e-006
6.365422397e-005,3.477987324,-1.814633892e-006
6.385068762e-005,2.566770775,-1.629157986e-006
6.404715128e-005,1.614027422,-1.465775127e-006
6.424361493e-005,0.6430207556,-1.330136708e-006
6.444007859e-005,-0.3226489765,-1.226164977e-006
6.463654224e-005,-1.25984516,-1.155949898e-006
6.483300589e-005,-2.146663835,-1.119728606e-006
6.502946955e-005,-2.999012752,-0.007771235695
6.52259332e-005,-3.96958997,-0.03859417081
6.542239686e-005,-4.83120046,-0.06733487625
6.561886051e-005,-5.574084114,-0.09380714989
6.581532417e-005,-6.190902649,-0.1178710245
6.601178782e-005,-6.676756942,-0.1394330958
6.620825147e-005,-7.029163902,-0.158446081
6.640471513e-005,-7.247992745,-0.174907594
6.660117878e-005,-7.335366248,-0.1888582701
6.679764244e-005,-7.295524218,-0.2003791467
6.699410609e-005,-7.134663982,-0.2095886247
6.719056974e-005,-6.860748724,-0.2166388005
6.73870334e-005,-6.48329827,-0.2217114843
6.758349705e-005,-6.013159861,-0.2250138055
6.777996071e-005,-5.462269164,-0.2267736654
6.797642436e-005,-4.843400601,-0.2272349634
6.817288802e-005,-4.169918684,-0.2266528513
6.836935167e-005,-3.455524555,-0.2252888952
6.856581532e-005,-2.714011485,-0.2234064075
6.876227898e-005,-1.95903276,-0.2212660172
6.895874263e-005,-1.203872904,-0.219121303
6.915520629e-005,-0.4612420752,-0.2172148693
6.935166994e-005,0.2569120506,-0.2157747555
6.95481336e-005,0.9395712676,-0.2150112499
6.974459725e-005,1.576793644,-0.2151140885
6.99410609e-005,2.159835296,-0.21625013
7.013752456e-005,2.706853948,-3.356171521e-007
7.033398821e-005,3.28283457,-8.060589498e-007
7.053045187e-005,3.878671114,-1.257179166e-006
7.072691552e-005,4.477886465,-1.676337171e-006
7.092337917e-005,5.062089297,-2.052484129e-006
7.111984283e-005,5.61175196,-2.37652463e-006
7.131630648e-005,6.107043878,-2.641591973e-006
7.151277014e-005,6.528681936,-2.843227742e-006
7.170923379e-005,6.858764163,-2.979461554e-006
7.190569745e-005,7.081549217,-3.050789753e-006
7.21021611e-005,7.184150774,-3.060056905e-006
7.229862475e-005,7.157118027,-3.012247296e-006
7.249508841e-005,6.994879183,-2.914197362e-006
7.269155206e-005,6.696030755,-2.774242828e-006
7.288801572e-005,6.263462037,-2.601816912e-006
7.308447937e-005,5.704311081,-2.407017091e-006
7.328094303e-005,5.029755589,-2.200159516e-006
7.347740668e-005,4.254648568,-1.991339398e-006
7.367387033e-005,3.397015515,-1.790015857e-006
7.387033399e-005,2.477433289,-1.604636863e-006
7.406679764e-005,1.51831873,-1.442320044e-006
7.42632613e-005,0.5431540332,-1.308599943e-006
7.445972495e-005,-0.4243179168,-1.207251331e-006
7.465618861e-005,-1.360897828,-1.140193506e-006
7.485265226e-005,-2.244701463,-1.107477635e-006
7.504911591e-005,-3.115745025,-0.01124651475
7.524557957e-005,-4.076096213,-0.0418740081
7.544204322e-005,-4.926133606,-0.07039356896
7.563850688e-005,-5.656349924,-0.0966238222
7.583497053e-005,-6.25966775,-0.12042978
7.603143418e-005,-6.731451656,-0.1417230721
7.622789784e-005,-7.069479388,-0.1604613941
7.642436149e-005,-7.27387599,-0.1766472474
7.662082515e-005,-7.347006977,-0.1903258957
7.68172888e-005,-7.293345957,-0.2015828412
7.701375246e-005,-7.119303877,-0.2105405602
7.721021611e-005,-6.833037938,-0.217354855
7.740667976e-005,-6.444239664,-0.2222108073
7.760314342e-005,-5.96390336,-0.225318357
7.779960707e-005,-5.404085889,-0.2269077169
7.799607073e-005,-4.777657303,-0.2272246103
7.819253438e-005,-4.098048852,-0.2265254616
7.838899804e-005,-3.379004116,-0.2250726455
7.858546169e-005,-2.634329722,-0.2231297284
7.878192534e-005,-1.877669869,-0.2209571526
7.8978389e-005,-1.122269244,-0.218807771
7.917485265e-005,-0.3807832228,-0.2169231035
7.937131631e-005,0.3349264232,-0.2155295655
7.956777996e-005,1.013933995,-0.2148356741
7.976424361e-005,1.646413371,-0.2150289539
7.996070727e-005,2.223746907,-0.2162738552
8.015717092e-005,2.771989061,-3.828761327e-007
8.035363458e-005,3.350373355,-8.516707579e-007
