"time","temperatureSensor.T"
6.864883,44.788513
6.870000,44.822455
6.874883,44.854820
6.880000,44.888717
6.884883,44.921040
6.890000,44.954892
6.894883,44.987172
6.900000,45.020979
6.904883,45.053217
6.910000,45.086979
6.914883,45.119174
6.920000,45.152891
6.924883,45.185043
6.930000,45.218716
6.934883,45.250826
6.940000,45.284454
6.944883,45.316521
6.950000,45.350105
6.954883,45.382130
6.960000,45.415669
6.964883,45.447651
6.970000,45.481147
6.974883,45.513086
6.980000,45.546537
6.984883,45.578435
6.990000,45.611841
6.994883,45.643697
7.000000,45.677059
7.004883,45.708872
7.010000,45.742190
7.014883,45.773961
7.020000,45.807236
7.024883,45.838965
7.030000,45.872195
7.034883,45.903882
7.040000,45.937068
7.044883,45.968713
7.050000,46.001856
7.054883,46.033459
7.060000,46.066558
7.064883,46.098119
7.070000,46.131174
7.074883,46.162694
7.080000,46.195705
7.084883,46.227183
7.090000,46.260151
7.094883,46.291587
7.100000,46.324511
7.104883,46.355906
7.110000,46.388787
7.114883,46.420140
7.120000,46.452977
7.124883,46.484290
7.130000,46.517083
7.134883,46.548354
7.140000,46.581104
7.144883,46.612334
7.150000,46.645041
7.154883,46.676229
7.160000,46.708893
7.164883,46.740040
7.170000,46.772661
7.174883,46.803767
7.180000,46.836344
7.184883,46.867409
7.190000,46.899944
7.194883,46.930968
7.200000,46.963459
7.204883,46.994442
7.210000,47.026891
7.214883,47.057833
7.220000,47.090239
7.224883,47.121140
7.230000,47.153504
7.234883,47.184364
7.240000,47.216685
7.244883,47.247504
7.250000,47.279782
7.254883,47.310561
7.260000,47.342796
