    "time",    "Out1", "Out2[1]", "Out2[2]",    "Out3",    "Out4",    "Out5"
      2.16, 1.5557003, 1.3286193, 1.5557003,  5.029123,0.75120396,-0.053292367
      2.17, 1.5639862, 1.3442178, 1.5639862, 5.0740401,0.75197393,-0.06003834
      2.18, 1.5722157, 1.3598989, 1.5722157, 5.1193255,0.75268012,-0.066855474
      2.19,  1.580388, 1.3756619,  1.580388, 5.1649837,0.75332235,-0.073743313
       2.2, 1.5885023, 1.3915064, 1.5885023, 5.2110189,0.75390043,-0.080701394
      2.21, 1.5965577, 1.4074318, 1.5965577, 5.2574355,0.75441421,-0.087729243
      2.22, 1.6045534, 1.4234374, 1.6045534,  5.304238,0.75486352,-0.094826379
      2.23, 1.6124887, 1.4395226, 1.6124887, 5.3514308, 0.7552482,-0.10199231
      2.24, 1.6203628,  1.455687, 1.6203628, 5.3990184,0.75556811,-0.10922653
      2.25, 1.6281748, 1.4719297, 1.6281748, 5.4470054,0.75582311,-0.11652854
      2.26,  1.635924, 1.4882502,  1.635924, 5.4953966,0.75601307,-0.12389782
      2.27, 1.6436096,  1.504648, 1.6436096, 5.5441965,0.75613786,-0.13133384
      2.28, 1.6512308, 1.5211222, 1.6512308, 5.5934099,0.75619737,-0.13883606
      2.29, 1.6587869, 1.5376724, 1.6587869, 5.6430417,0.75619149,-0.14640393
       2.3, 1.6662772, 1.5542977, 1.6662772, 5.6930967,0.75612012,-0.15403692
      2.31, 1.6737008, 1.5709977, 1.6737008, 5.7435798,0.75598317,-0.16173445
      2.32,  1.681057, 1.5877715,  1.681057, 5.7944959,0.75578054,-0.16949595
      2.33, 1.6883452, 1.6046186, 1.6883452, 5.8458503,0.75551216,-0.17732084
      2.34, 1.6955645, 1.6215382, 1.6955645, 5.8976478,0.75517796,-0.18520855
      2.35, 1.7027142, 1.6385297, 1.7027142, 5.9498937,0.75477788,-0.19315847
      2.36, 1.7097937, 1.6555923, 1.7097937, 6.0025931,0.75431185,-0.20116999
      2.37, 1.7168022, 1.6727253, 1.7168022, 6.0557514,0.75377984,-0.20924252
      2.38,  1.723739, 1.6899281,  1.723739, 6.1093739, 0.7531818,-0.21737543
      2.39, 1.7306035, 1.7071998, 1.7306035,  6.163466,0.75251769,-0.22556808
       2.4, 1.7373949, 1.7245399, 1.7373949,  6.218033, 0.7517875,-0.23381986
      2.41, 1.7441125, 1.7419475, 1.7441125, 6.2730806, 0.7509912,-0.2421301
      2.42, 1.7507557, 1.7594219, 1.7507557, 6.3286143,0.75012879,-0.25049817
      2.43, 1.7573239, 1.7769623, 1.7573239, 6.3846397,0.74920025,-0.25892341
      2.44, 1.7638163, 1.7945681, 1.7638163, 6.4411625, 0.7482056,-0.26740515
      2.45, 1.7702324, 1.8122384, 1.7702324, 6.4981886,0.74714484,-0.27594271
      2.46, 1.7765714, 1.8299725, 1.7765714, 6.5557236,  0.746018,-0.28453542
      2.47, 1.7828328, 1.8477696, 1.7828328, 6.6137736,0.74482511,-0.29318259
      2.48, 1.7890159, 1.8656289, 1.7890159, 6.6723445,0.74356619,-0.30188352
      2.49, 1.7951201, 1.8835496, 1.7951201, 6.7314422,0.74224128,-0.31063751
       2.5, 1.8011448,  1.901531, 1.8011448,  6.791073,0.74085045,-0.31944386
      2.51, 1.8070893, 1.9195723, 1.8070893, 6.8512429,0.73939374,-0.32830185
      2.52, 1.8129532, 1.9376726, 1.8129532, 6.9119582,0.73787121,-0.33721075
      2.53, 1.8187357, 1.9558311, 1.8187357, 6.9732251,0.73628295,-0.34616984
      2.54, 1.8244364,  1.974047, 1.8244364, 7.0350501,0.73462903,-0.35517838
      2.55, 1.8300547, 1.9923195, 1.8300547, 7.0974396,0.73290953,-0.36423563
      2.56, 1.8355899, 2.0106478, 1.8355899,    7.1604,0.73112454,-0.37334084
      2.57, 1.8410416,  2.029031, 1.8410416,  7.223938,0.72927418,-0.38249325
      2.58, 1.8464092, 2.0474684, 1.8464092, 7.2880602,0.72735854,-0.3916921
      2.59, 1.8516921, 2.0659589, 1.8516921, 7.3527733,0.72537774,-0.40093663
       2.6, 1.8568899, 2.0845019, 1.8568899, 7.4180841,0.72333191,-0.41022607
      2.61,  1.862002, 2.1030965,  1.862002, 7.4839995,0.72122118,-0.41955962
      2.62, 1.8670279, 2.1217417, 1.8670279, 7.5505264,0.71904567,-0.42893652
      2.63,  1.871967, 2.1404367,  1.871967, 7.6176718,0.71680555,-0.43835595
