time,Capacitor1.i,IdealDiode3.v
0.08310,-131.80369,-223.31670
0.08320,-96.88066,-238.29954
0.08330,-60.85960,-253.42108
0.08340,-24.40666,-268.66869
0.08350,11.81061,-284.02750
0.08360,47.12737,-299.48044
0.08370,80.88567,-315.00826
0.08380,112.43853,-330.58957
0.08390,141.15399,-346.20090
0.08400,166.41900,-361.81677
0.08410,187.64329,-377.40980
0.08420,204.26303,-392.95075
0.08430,215.74437,-408.40870
0.08440,221.58679,-423.75110
0.08450,221.32625,-438.94396
0.08460,214.53818,-453.95194
0.08470,200.84016,-468.73856
0.08480,179.89438,-483.26629
0.08490,151.40993,-497.49677
0.08500,115.14468,-511.39095
0.08510,70.90699,-524.90930
0.08520,18.65999,-535.86007
0.08530,-37.15118,-535.80857
0.08540,-94.20040,-535.39498
0.08550,-152.59677,-534.61055
0.08560,-212.43711,-533.44582
0.08570,-273.80477,-531.89075
0.08580,-286.11435,-530.00199
0.08590,-272.89460,-528.14892
