"time","v_0_out","v_1_out"
0.662,1110725268,-17252637
0.663,2133944819,-17252637
0.664,2133944819,-17252637
0.665,2133944819,148490431
0.666,2133944819,148490431
0.667,-423736523,148490431
0.668,-423736523,148490431
0.669,-423736523,1297171992
0.67,-423736523,1297171992
0.671,434572260,1297171992
0.672,434572260,1297171992
0.673,434572260,-497895741
0.674,434572260,-497895741
0.675,1125277381,-497895741
0.676,1125277381,-497895741
0.677,1125277381,75165813
0.678,1125277381,75165813
0.679,1534231638,75165813
0.68,1534231638,75165813
0.681,1534231638,2146137079
0.682,1534231638,2146137079
0.683,1922536274,2146137079
0.684,1922536274,2146137079
0.685,1922536274,364299990
0.686,1922536274,364299990
0.687,1413877177,364299990
0.688,1413877177,364299990
0.689,1413877177,-910331256
0.69,1413877177,-910331256
0.691,371460553,-910331256
0.692,371460553,-910331256
0.693,371460553,124123242
0.694,371460553,124123242
0.695,-961317831,124123242
0.696,-961317831,124123242
0.697,-961317831,1613824390
0.698,-961317831,1613824390
0.699,1231659333,1613824390
0.7,1231659333,1613824390
0.701,1231659333,-1085813330
0.702,1231659333,-1085813330
0.703,48475737,-1085813330
0.704,48475737,-1085813330
0.705,48475737,-306584327
0.706,48475737,-306584327
0.707,-659389415,-306584327
0.708,-659389415,-306584327
0.709,-659389415,238932065
0.71,-659389415,238932065
0.711,-1870950802,238932065
0.712,-1870950802,238932065
0.713,-1870950802,-694011068
0.714,-1870950802,-694011068
0.715,-1452944982,-694011068
0.716,-1452944982,-694011068
0.717,-1452944982,-1785667832
0.718,-1452944982,-1785667832
0.719,453428541,-1785667832
0.72,453428541,-1785667832
0.721,453428541,-376726678
0.722,453428541,-376726678
0.723,751228910,-376726678
0.724,751228910,-376726678
0.725,751228910,-1187590998
0.726,751228910,-1187590998
0.727,497330392,-1187590998
0.728,497330392,-1187590998
0.729,497330392,1588334410
0.73,497330392,1588334410
0.731,-1342842950,1588334410
0.732,-1342842950,1588334410
0.733,-1342842950,933017586
0.734,-1342842950,933017586
0.735,-77941216,933017586
0.736,-77941216,933017586
0.737,-77941216,1812013907
0.738,-77941216,1812013907
0.739,969332581,1812013907
0.74,969332581,1812013907
0.741,969332581,1287043980
0.742,969332581,1287043980
0.743,1541546022,1287043980
0.744,1541546022,1287043980
0.745,1541546022,-1576534599
0.746,1541546022,-1576534599
0.747,-421809214,-1576534599
0.748,-421809214,-1576534599
0.749,-421809214,-953162732
0.75,-421809214,-953162732
0.751,915735921,-953162732
0.752,915735921,-953162732
0.753,915735921,-575191612
0.754,915735921,-575191612
0.755,1765887647,-575191612
0.756,1765887647,-575191612
0.757,1765887647,-1915446478
0.758,1765887647,-1915446478
0.759,1065886469,-1915446478
0.76,1065886469,-1915446478
0.761,1065886469,96931965
0.762,1065886469,96931965
0.763,-472761757,96931965
0.764,-472761757,96931965
0.765,-472761757,-2139901826
0.766,-472761757,-2139901826
0.767,1381124801,-2139901826
0.768,1381124801,-2139901826
0.769,1381124801,1910443517
0.77,1381124801,1910443517
0.771,-455555971,1910443517
0.772,-455555971,1910443517
0.773,-455555971,7377350
0.774,-455555971,7377350
0.775,7377350,-455555971
0.776,7377350,-455555971
0.777,1910443517,-455555971
0.778,1910443517,-455555971
0.779,1910443517,1381124801
0.78,1910443517,1381124801
0.781,-2139901826,1381124801
0.782,-2139901826,1381124801
0.783,-2139901826,-472761757
0.784,-2139901826,-472761757
0.785,96931965,-472761757
0.786,96931965,-472761757
0.787,96931965,1065886469
0.788,96931965,1065886469
0.789,-1915446478,1065886469
0.79,-1915446478,1065886469
0.791,-1915446478,1765887647
0.792,-1915446478,1765887647
0.793,-575191612,1765887647
0.794,-575191612,1765887647
0.795,-575191612,915735921
0.796,-575191612,915735921
0.797,-953162732,915735921
0.798,-953162732,915735921
0.799,-953162732,-421809214
0.8,-953162732,-421809214
0.801,-1576534599,-421809214
0.802,-1576534599,-421809214
0.803,-1576534599,1541546022
0.804,-1576534599,1541546022
0.805,1287043980,1541546022
0.806,1287043980,1541546022
0.807,1287043980,969332581
0.808,1287043980,969332581
0.809,1812013907,969332581
0.81,1812013907,969332581
