"time","y","y1","y2","y3","y4","y5","y6","Q","QI"
2.56097656,0,8,1,0,1,0,0,1,0
2.56488281,0,8,1,0,1,0,0,1,0
2.57,0,8,1,0,1,0,0,1,0
2.57,0,8,1,0,1,0,0,1,0
2.57,0,8,1,0,1,0,0,1,0
2.57019531,0,8,1,0,1,0,0,1,0
2.57097656,0,8,1,0,1,0,0,1,0
2.57488281,0,8,1,0,1,0,0,1,0
2.58,0,8,1,0,1,0,0,1,0
2.58,0,8,1,0,1,0,0,1,0
2.58,0,8,1,0,1,0,0,1,0
2.58019531,0,8,1,0,1,0,0,1,0
2.58097656,0,8,1,0,1,0,0,1,0
2.58488281,0,8,1,0,1,0,0,1,0
2.59,0,8,1,0,1,0,0,1,0
2.59,0,8,1,0,1,0,0,1,0
2.59,0,8,1,0,1,0,0,1,0
2.59019531,0,8,1,0,1,0,0,1,0
2.59097656,0,8,1,0,1,0,0,1,0
2.59488281,0,8,1,0,1,0,0,1,0
2.6,0,8,1,0,1,0,0,1,0
2.6,0,8,1,0,1,0,0,1,0
2.6,0,8,1,0,1,0,0,1,0
2.60019531,0,8,1,0,1,0,0,1,0
2.60097656,0,8,1,0,1,0,0,1,0
2.60488281,0,8,1,0,1,0,0,1,0
2.61,0,8,1,0,1,0,0,1,0
2.61,0,8,1,0,1,0,0,1,0
2.61,0,8,1,0,1,0,0,1,0
2.61019531,0,8,1,0,1,0,0,1,0
2.61097656,0,8,1,0,1,0,0,1,0
2.61488281,0,8,1,0,1,0,0,1,0
2.62,0,8,1,0,1,0,0,1,0
2.62,0,8,1,0,1,0,0,1,0
2.62,0,8,1,0,1,0,0,1,0
2.62019531,0,8,1,0,1,0,0,1,0
2.62097656,0,8,1,0,1,0,0,1,0
2.62488281,0,8,1,0,1,0,0,1,0
2.63,0,8,1,0,1,0,0,1,0
2.63,0,8,1,0,1,0,0,1,0
2.63,0,8,1,0,1,0,0,1,0
2.63019531,0,8,1,0,1,0,0,1,0
2.63097656,0,8,1,0,1,0,0,1,0
2.63488281,0,8,1,0,1,0,0,1,0
2.64,0,8,1,0,1,0,0,1,0
2.64,0,8,1,0,1,0,0,1,0
2.64,0,8,1,0,1,0,0,1,0
2.64019531,0,8,1,0,1,0,0,1,0
2.64097656,0,8,1,0,1,0,0,1,0
2.64488281,0,8,1,0,1,0,0,1,0
2.65,0,8,1,0,1,0,0,1,0
2.65,0,8,1,0,1,0,0,1,0
2.65,0,8,1,0,1,0,0,1,0
2.65019531,0,8,1,0,1,0,0,1,0
2.65097656,0,8,1,0,1,0,0,1,0
2.65488281,0,8,1,0,1,0,0,1,0
2.66,0,8,1,0,1,0,0,1,0
2.66,0,8,1,0,1,0,0,1,0
2.66,0,8,1,0,1,0,0,1,0
2.66019531,0,8,1,0,1,0,0,1,0
2.66097656,0,8,1,0,1,0,0,1,0
2.66488281,0,8,1,0,1,0,0,1,0
2.67,0,8,1,0,1,0,0,1,0
2.67,0,8,1,0,1,0,0,1,0
2.67,0,8,1,0,1,0,0,1,0
2.67019531,0,8,1,0,1,0,0,1,0
2.67097656,0,8,1,0,1,0,0,1,0
2.67488281,0,8,1,0,1,0,0,1,0
2.68,0,8,1,0,1,0,0,1,0
2.68,0,8,1,0,1,0,0,1,0
2.68,0,8,1,0,1,0,0,1,0
2.68019531,0,8,1,0,1,0,0,1,0
2.68097656,0,8,1,0,1,0,0,1,0
2.68488281,0,8,1,0,1,0,0,1,0
2.69,0,8,1,0,1,0,0,1,0
2.69,0,8,1,0,1,0,0,1,0
2.69,0,8,1,0,1,0,0,1,0
2.69019531,0,8,1,0,1,0,0,1,0
2.69097656,0,8,1,0,1,0,0,1,0
2.69488281,0,8,1,0,1,0,0,1,0
2.7,0,8,1,0,1,0,0,1,0
2.7,0,8,1,0,1,0,0,1,0
2.7,0,8,1,0,1,0,0,1,0
2.70019531,0,8,1,0,1,0,0,1,0
2.70097656,0,8,1,0,1,0,0,1,0
2.70488281,0,8,1,0,1,0,0,1,0
2.71,0,8,1,0,1,0,0,1,0
2.71,0,8,1,0,1,0,0,1,0
2.71,0,8,1,0,1,0,0,1,0
2.71019531,0,8,1,0,1,0,0,1,0
2.71097656,0,8,1,0,1,0,0,1,0
2.71488281,0,8,1,0,1,0,0,1,0
2.72,0,8,1,0,1,0,0,1,0
2.72,0,8,1,0,1,0,0,1,0
2.72,0,8,1,0,1,0,0,1,0
2.72019531,0,8,1,0,1,0,0,1,0
2.72097656,0,8,1,0,1,0,0,1,0
2.72488281,0,8,1,0,1,0,0,1,0
2.73,0,8,1,0,1,0,0,1,0
2.73,0,8,1,0,1,0,0,1,0
2.73,0,8,1,0,1,0,0,1,0
2.73019531,0,8,1,0,1,0,0,1,0
2.73097656,0,8,1,0,1,0,0,1,0
2.73488281,0,8,1,0,1,0,0,1,0
2.74,0,8,1,0,1,0,0,1,0
2.74,0,8,1,0,1,0,0,1,0
2.74,0,8,1,0,1,0,0,1,0
2.74019531,0,8,1,0,1,0,0,1,0
2.74097656,0,8,1,0,1,0,0,1,0
2.74488281,0,8,1,0,1,0,0,1,0
2.75,0,8,1,0,1,0,0,1,0
2.75,0,8,1,0,1,0,0,1,0
2.75,0,8,1,0,1,0,0,1,0
2.75019531,0,8,1,0,1,0,0,1,0
2.75097656,0,8,1,0,1,0,0,1,0
2.75488281,0,8,1,0,1,0,0,1,0
2.76,0,8,1,0,1,0,0,1,0
2.76,0,8,1,0,1,0,0,1,0
2.76,0,8,1,0,1,0,0,1,0
2.76019531,0,8,1,0,1,0,0,1,0
2.76097656,0,8,1,0,1,0,0,1,0
2.76488281,0,8,1,0,1,0,0,1,0
2.77,0,8,1,0,1,0,0,1,0
2.77,0,8,1,0,1,0,0,1,0
2.77,0,8,1,0,1,0,0,1,0
2.77019531,0,8,1,0,1,0,0,1,0
2.77097656,0,8,1,0,1,0,0,1,0
2.77488281,0,8,1,0,1,0,0,1,0
2.78,0,8,1,0,1,0,0,1,0
2.78,0,8,1,0,1,0,0,1,0
2.78,0,8,1,0,1,0,0,1,0
2.78019531,0,8,1,0,1,0,0,1,0
2.78097656,0,8,1,0,1,0,0,1,0
2.78488281,0,8,1,0,1,0,0,1,0
2.79,0,8,1,0,1,0,0,1,0
2.79,0,8,1,0,1,0,0,1,0
2.79,0,8,1,0,1,0,0,1,0
2.79019531,0,8,1,0,1,0,0,1,0
2.79097656,0,8,1,0,1,0,0,1,0
2.79488281,0,8,1,0,1,0,0,1,0
2.8,0,8,1,0,1,0,0,1,0
2.8,0,8,1,0,1,0,0,1,0
2.8,0,10,0,0,1,1,0,0,1
2.80019531,0,10,0,0,1,1,0,0,1
2.80097656,0,10,0,0,1,1,0,0,1
2.80488281,0,10,0,0,1,1,0,0,1
2.81,0,10,0,0,1,1,0,0,1
2.81,0,10,0,0,1,1,0,0,1
2.81,0,10,0,0,1,1,0,0,1
2.81019531,0,10,0,0,1,1,0,0,1
2.81097656,0,10,0,0,1,1,0,0,1
2.81488281,0,10,0,0,1,1,0,0,1
2.82,0,10,0,0,1,1,0,0,1
2.82,0,10,0,0,1,1,0,0,1
2.82,0,10,0,0,1,1,0,0,1
2.82019531,0,10,0,0,1,1,0,0,1
2.82097656,0,10,0,0,1,1,0,0,1
2.82488281,0,10,0,0,1,1,0,0,1
2.83,0,10,0,0,1,1,0,0,1
2.83,0,10,0,0,1,1,0,0,1
2.83,0,10,0,0,1,1,0,0,1
2.83019531,0,10,0,0,1,1,0,0,1
2.83097656,0,10,0,0,1,1,0,0,1
2.83488281,0,10,0,0,1,1,0,0,1
2.84,0,10,0,0,1,1,0,0,1
2.84,0,10,0,0,1,1,0,0,1
2.84,0,10,0,0,1,1,0,0,1
2.84019531,0,10,0,0,1,1,0,0,1
2.84097656,0,10,0,0,1,1,0,0,1
2.84488281,0,10,0,0,1,1,0,0,1
2.85,0,10,0,0,1,1,0,0,1
2.85,0,10,0,0,1,1,0,0,1
2.85,0,10,0,0,1,1,0,0,1
2.85019531,0,10,0,0,1,1,0,0,1
2.85097656,0,10,0,0,1,1,0,0,1
2.85488281,0,10,0,0,1,1,0,0,1
2.86,0,10,0,0,1,1,0,0,1
2.86,0,10,0,0,1,1,0,0,1
2.86,0,10,0,0,1,1,0,0,1
2.86019531,0,10,0,0,1,1,0,0,1
2.86097656,0,10,0,0,1,1,0,0,1
2.86488281,0,10,0,0,1,1,0,0,1
2.87,0,10,0,0,1,1,0,0,1
2.87,0,10,0,0,1,1,0,0,1
2.87,0,10,0,0,1,1,0,0,1
2.87019531,0,10,0,0,1,1,0,0,1
2.87097656,0,10,0,0,1,1,0,0,1
2.87488281,0,10,0,0,1,1,0,0,1
2.88,0,10,0,0,1,1,0,0,1
2.88,0,10,0,0,1,1,0,0,1
2.88,0,10,0,0,1,1,0,0,1
2.88019531,0,10,0,0,1,1,0,0,1
2.88097656,0,10,0,0,1,1,0,0,1
2.88488281,0,10,0,0,1,1,0,0,1
2.89,0,10,0,0,1,1,0,0,1
2.89,0,10,0,0,1,1,0,0,1
2.89,0,10,0,0,1,1,0,0,1
2.89019531,0,10,0,0,1,1,0,0,1
2.89097656,0,10,0,0,1,1,0,0,1
2.89488281,0,10,0,0,1,1,0,0,1
2.9,0,10,0,0,1,1,0,0,1
2.9,0,10,0,0,1,1,0,0,1
2.9,0,10,0,0,1,1,0,0,1
2.90019531,0,10,0,0,1,1,0,0,1
2.90097656,0,10,0,0,1,1,0,0,1
