time,volume@INJ01,q@INJ01
0.013369999999999998,0.000156983518483,-1.0000958287399999e-08
0.013369999999999998,0.000156983518483,-1.0000958287399999e-08
0.013380000000000001,0.00015698351848100002,-1.07703760927e-08
0.013380000000000001,0.00015698351848100002,-1.07703760927e-08
0.01339,0.000156983518479,-1.14469410718e-08
0.01339,0.000156983518479,-1.14469410718e-08
0.0134,0.000156983518477,-1.1922072345399999e-08
0.0134,0.000156983518477,-1.1922072345399999e-08
0.01341,0.000156983518475,-1.21872633544e-08
0.01341,0.000156983518475,-1.21872633544e-08
0.01342,0.000156983518473,-1.2324555626e-08
0.01342,0.000156983518473,-1.2324555626e-08
0.013430000000000001,0.00015698351847100002,-1.2399696919600001e-08
0.013430000000000001,0.00015698351847100002,-1.2399696919600001e-08
0.01344,0.00015698351846899996,-1.24446252532e-08
0.01344,0.00015698351846899996,-1.24446252532e-08
0.01345,0.00015698351846700002,-1.3912789321e-08
0.01345,0.00015698351846700002,-1.3912789321e-08
0.01346,0.000156983518465,-1.24518118311e-08
0.01346,0.000156983518465,-1.24518118311e-08
0.01347,0.000156983518463,-1.2453732442299999e-08
0.01347,0.000156983518463,-1.2453732442299999e-08
0.01348,0.00015698351846100001,-1.24539070433e-08
0.01348,0.00015698351846100001,-1.24539070433e-08
0.01349,0.00015698351845899999,-1.24540537081e-08
0.01349,0.00015698351845899999,-1.24540537081e-08
0.0135,0.000156983518457,-1.26256515872e-08
0.0135,0.000156983518457,-1.26256515872e-08
0.01351,0.000156983518455,-1.2454361005900001e-08
0.01351,0.000156983518455,-1.2454361005900001e-08
0.013519999999999999,0.00015698351845299998,-1.2454374974e-08
0.013519999999999999,0.00015698351845299998,-1.2454374974e-08
0.01353,0.00015698351845,-1.24544657665e-08
0.01353,0.00015698351845,-1.24544657665e-08
0.01354,0.00015698351844799997,-1.2454584495200001e-08
0.01354,0.00015698351844799997,-1.2454584495200001e-08
0.01355,0.00015698351844600002,-1.24546124314e-08
0.01355,0.00015698351844600002,-1.24546124314e-08
0.01356,0.000156983518444,-1.24546752877e-08
0.01356,0.000156983518444,-1.24546752877e-08
0.013569999999999999,0.000156983518442,-1.24547451281e-08
0.013569999999999999,0.000156983518442,-1.24547451281e-08
0.013580000000000002,0.00015698351844,-1.24548079845e-08
0.013580000000000002,0.00015698351844,-1.24548079845e-08
0.013590000000000001,0.000156983518438,-1.2454856872799999e-08
0.013590000000000001,0.000156983518438,-1.2454856872799999e-08
0.0136,0.000156983518436,-1.2454912745100001e-08
0.0136,0.000156983518436,-1.2454912745100001e-08
0.013609999999999999,0.000156983518434,-1.24883523318e-08
0.013609999999999999,0.000156983518434,-1.24883523318e-08
0.013619999999999998,0.00015698351843200002,-1.2455017505700001e-08
0.013619999999999998,0.00015698351843200002,-1.2455017505700001e-08
