"time","Capacitor1_i","IdealDiode3_v"
0.0223,-222.337,2.14679
0.0224,-222.337,2.14679
0.0224,-289.378,2.01292
0.0225,-289.378,2.01292
0.0225,-290.11,-139.06
0.0226,-290.11,-139.06
0.0226,-278.953,-153.036
0.0227,-278.953,-153.036
0.0227,-262.891,-167.168
0.0228,-262.891,-167.168
0.0228,-242.474,-181.457
0.0229,-242.474,-181.457
0.0229,-218.28,-195.9
0.023,-218.28,-195.9
0.023,-190.908,-210.496
0.0231,-190.908,-210.496
0.0231,-160.977,-225.238
0.0232,-160.977,-225.238
0.0232,-129.121,-240.118
0.0233,-129.121,-240.118
0.0233,-95.982,-255.128
0.0234,-95.982,-255.128
0.0234,-62.2118,-270.254
0.0235,-62.2118,-270.254
0.0235,-28.4629,-285.482
0.0236,-28.4629,-285.482
0.0236,4.61302,-300.797
0.0237,4.61302,-300.797
0.0237,36.3702,-316.18
0.0238,36.3702,-316.18
0.0238,66.1722,-331.61
0.0239,66.1722,-331.61
0.0239,93.3965,-347.064
0.024,93.3965,-347.064
0.024,117.438,-362.519
0.0241,117.438,-362.519
0.0241,137.712,-377.947
0.0242,137.712,-377.947
0.0242,153.661,-393.32
0.0243,153.661,-393.32
0.0243,164.753,-408.609
0.0244,164.753,-408.609
0.0244,170.489,-423.781
0.0245,170.489,-423.781
0.0245,170.407,-438.804
0.0246,170.407,-438.804
0.0246,164.079,-453.643
0.0247,164.079,-453.643
0.0247,151.12,-468.262
0.0248,151.12,-468.262
0.0248,131.188,-482.626
0.0249,131.188,-482.626
0.0249,103.986,-496.696
0.025,103.986,-496.696
0.025,69.2646,-510.435
0.0251,69.2646,-510.435
0.0251,26.8223,-523.803
0.0252,26.8223,-523.803
0.0252,-23.2382,-533.361
0.0253,-23.2382,-533.361
0.0253,-76.0521,-533.041
0.0254,-76.0521,-533.041
0.0254,-129.821,-532.381
0.0255,-129.821,-532.381
0.0255,-184.68,-531.372
0.0256,-184.68,-531.372
0.0256,-240.751,-530.008
0.0257,-240.751,-530.008
0.0257,-298.147,-528.279
0.0258,-298.147,-528.279
0.0258,-290.773,-526.316
0.0259,-290.773,-526.316
0.0259,-274.472,-524.446
0.026,-274.472,-524.446
0.026,-253.146,-522.706
0.0261,-253.146,-522.706
0.0261,-227.377,-521.127
0.0262,-227.377,-521.127
0.0262,-197.771,-519.738
0.0263,-197.771,-519.738
0.0263,-164.957,-518.56
0.0264,-164.957,-518.56
0.0264,-129.584,-517.612
0.0265,-129.584,-517.612
0.0265,-92.313,-516.909
0.0266,-92.313,-516.909
0.0266,-53.8189,-516.46
0.0267,-53.8189,-516.46
0.0267,-14.7813,-516.27
0.0268,-14.7813,-516.27
0.0268,24.1177,-516.341
0.0269,24.1177,-516.341
0.0269,62.1982,-516.667
0.027,62.1982,-516.667
0.027,98.7863,-517.241
0.0271,98.7863,-517.241
0.0271,133.219,-518.05
0.0272,133.219,-518.05
0.0272,164.847,-519.077
0.0273,164.847,-519.077
0.0273,193.041,-520.301
0.0274,193.041,-520.301
0.0274,217.194,-521.695
0.0275,217.194,-521.695
0.0275,236.723,-523.23
0.0276,236.723,-523.23
0.0276,251.079,-524.873
0.0277,251.079,-524.873
0.0277,259.742,-526.588
0.0278,259.742,-526.588
0.0278,262.233,-528.334
0.0279,262.233,-528.334
0.0279,258.11,-530.068
0.028,258.11,-530.068
0.028,246.973,-531.745
0.0281,246.973,-531.745
0.0281,228.47,-533.315
0.0282,228.47,-533.315
0.0282,202.293,-534.729
0.0283,202.293,-534.729
0.0283,168.187,-535.935
0.0284,168.187,-535.935
0.0284,125.944,-536.877
0.0285,125.944,-536.877
0.0285,75.4127,-537.503
0.0286,75.4127,-537.503
0.0286,18.6834,-537.761
0.0287,18.6834,-537.761
0.0287,-39.6709,-537.633
0.0288,-39.6709,-537.633
0.0288,-99.5958,-537.11
0.0289,-99.5958,-537.11
0.0289,-161.177,-536.18
0.029,-161.177,-536.18
0.029,-224.487,-534.832
0.0291,-224.487,-534.832
0.0291,-279.279,-533.07
0.0292,-279.279,-533.07
0.0292,-269.912,-531.245
0.0293,-269.912,-531.245
0.0293,-255.384,-529.506
0.0294,-255.384,-529.506
0.0294,-236.238,-527.884
0.0295,-236.238,-527.884
0.0295,-213.042,-526.408
0.0296,-213.042,-526.408
0.0296,-186.39,-525.101
0.0297,-186.39,-525.101
0.0297,-156.895,-523.985
0.0298,-156.895,-523.985
0.0298,-125.187,-523.075
0.0299,-125.187,-523.075
0.0299,-91.9094,-522.384
0.03,-91.9094,-522.384
0.03,-57.7135,-521.919
0.0301,-57.7135,-521.919
0.0301,-23.2549,-521.684
0.0302,-23.2549,-521.684
0.0302,10.8102,-521.677
0.0303,10.8102,-521.677
0.0303,43.8293,-521.893
0.0304,43.8293,-521.893
0.0304,75.1578,-522.322
0.0305,75.1578,-522.322
0.0305,104.163,-522.95
0.0306,104.163,-522.95
0.0306,130.228,-523.759
0.0307,130.228,-523.759
0.0307,152.755,-524.727
0.0308,152.755,-524.727
0.0308,171.171,-525.828
0.0309,171.171,-525.828
0.0309,184.928,-527.031
0.031,184.928,-527.031
0.031,193.51,-528.304
0.0311,193.51,-528.304
0.0311,196.433,-529.61
0.0312,196.433,-529.61
0.0312,193.252,-530.909
0.0313,193.252,-530.909
0.0313,183.56,-532.16
0.0314,183.56,-532.16
0.0314,166.993,-533.315
0.0315,166.993,-533.315
0.0315,143.229,-534.33
0.0316,143.229,-534.33
0.0316,111.997,-535.154
0.0317,111.997,-535.154
0.0317,73.0715,-535.736
0.0318,73.0715,-535.736
0.0318,26.2775,-536.025
0.0319,26.2775,-536.025
0.0319,-27.5616,-535.967
0.032,-27.5616,-535.967
0.032,-83.1963,-535.528
0.0321,-83.1963,-535.528
0.0321,-139.907,-534.7
0.0322,-139.907,-534.7
0.0322,-197.804,-533.474
0.0323,-197.804,-533.474
0.0323,-256.988,-531.844
0.0324,-256.988,-531.844
0.0324,-302.148,-405.543
0.0325,-302.148,-405.543
0.0325,-291.502,-389.751
0.0326,-291.502,-389.751
0.0326,-275.429,-373.879
0.0327,-275.429,-373.879
0.0327,-254.477,-357.958
0.0328,-254.477,-357.958
0.0328,-229.226,-342.018
0.0329,-229.226,-342.018
0.0329,-200.279,-326.089
0.033,-200.279,-326.089
0.033,-168.263,-310.195
0.0331,-168.263,-310.195
0.0331,-133.821,-294.362
0.0332,-133.821,-294.362
0.0332,-97.6111,-278.612
0.0333,-97.6111,-278.612
0.0333,-60.3017,-262.964
0.0334,-60.3017,-262.964
0.0334,-22.5656,-247.436
0.0335,-22.5656,-247.436
0.0335,14.9225,-232.044
0.0336,14.9225,-232.044
0.0336,51.4906,-216.801
0.0337,51.4906,-216.801
0.0337,86.474,-201.717
0.0338,86.474,-201.717
0.0338,119.219,-186.802
0.0339,119.219,-186.802
0.0339,149.087,-172.062
0.034,149.087,-172.062
0.034,175.458,-157.502
0.0341,175.458,-157.502
0.0341,197.737,-143.124
0.0342,197.737,-143.124
0.0342,215.353,-128.927
0.0343,215.353,-128.927
0.0343,227.768,-114.911
0.0344,227.768,-114.911
0.0344,234.476,-101.071
0.0345,234.476,-101.071
0.0345,235.007,-87.4022
0.0346,235.007,-87.4022
0.0346,228.934,-73.8977
0.0347,228.934,-73.8977
0.0347,215.87,-60.5487
0.0348,215.87,-60.5487
0.0348,195.474,-47.3452
0.0349,195.474,-47.3452
0.0349,167.451,-34.2761
0.035,167.451,-34.2761
0.035,131.558,-21.3289
0.0351,131.558,-21.3289
0.0351,87.601,-8.49038
0.0352,87.601,-8.49038
0.0352,35.5518,2.00023
0.0353,35.5518,2.00023
0.0353,-20.1254,2.00979
0.0354,-20.1254,2.00979
0.0354,-77.1669,2.03334
0.0355,-77.1669,2.03334
0.0355,-135.681,2.07074
0.0356,-135.681,2.07074
0.0356,-195.765,2.12187
0.0357,-195.765,2.12187
0.0357,-257.499,2.18656
0.0358,-257.499,2.18656
0.0358,-278.411,2.22225
0.0359,-278.411,2.22225
0.0359,-265.584,2.23509
0.036,-265.584,2.23509
0.036,-247.777,2.25291
0.0361,-247.777,2.25291
0.0361,-225.551,2.27515
0.0362,-225.551,2.27515
0.0362,-199.493,2.30122
0.0363,-199.493,2.30122
0.0363,-170.21,2.33051
0.0364,-170.21,2.33051
0.0364,-138.333,2.36241
0.0365,-138.333,2.36241
0.0365,-104.505,2.39625
0.0366,-104.505,2.39625
0.0366,-69.3794,2.43139
0.0367,-69.3794,2.43139
0.0367,-33.6185,2.46716
0.0368,-33.6185,2.46716
0.0368,2.11376,2.50291
0.0369,2.11376,2.50291
0.0369,37.1549,2.53797
0.037,37.1549,2.53797
0.037,70.8477,2.57168
0.0371,70.8477,2.57168
0.0371,102.545,2.60339
0.0372,102.545,2.60339
0.0372,131.613,2.63247
0.0373,131.613,2.63247
0.0373,157.435,2.65831
0.0374,157.435,2.65831
0.0374,179.417,2.68031
0.0375,179.417,2.68031
0.0375,196.989,2.6979
0.0376,196.989,2.6979
0.0376,209.611,2.71054
0.0377,209.611,2.71054
0.0377,216.775,2.71772
0.0378,216.775,2.71772
0.0378,218.006,2.71897
0.0379,218.006,2.71897
0.0379,212.871,2.71385
0.038,212.871,2.71385
0.038,200.975,2.70197
0.0381,200.975,2.70197
0.0381,181.969,2.68298
0.0382,181.969,2.68298
0.0382,155.548,2.65657
0.0383,155.548,2.65657
0.0383,121.457,2.6225
0.0384,121.457,2.6225
0.0384,79.49,2.58055
0.0385,79.49,2.58055
0.0385,29.4909,2.53056
0.0386,29.4909,2.53056
0.0386,-26.2551,2.47482
0.0387,-26.2551,2.47482
0.0387,-83.256,2.41781
0.0388,-83.256,2.41781
0.0388,-141.507,2.35956
0.0389,-141.507,2.35956
0.0389,-201.108,2.29996
0.039,-201.108,2.29996
0.039,-262.145,2.23892
0.0391,-262.145,2.23892
0.0391,-294.28,2.20665
0.0392,-294.28,2.20665
0.0392,-282.916,2.218
0.0393,-282.916,2.218
0.0393,-266.324,2.23457
0.0394,-266.324,2.23457
0.0394,-245.057,2.25582
0.0395,-245.057,2.25582
0.0395,-219.694,2.28117
0.0396,-219.694,2.28117
0.0396,-190.841,2.31
0.0397,-190.841,2.31
