"time","step2","J1_w","J2_w","J3_w","J4_w"
0.09,0,9.72305,0.898101,-1.92069e-014,-1.92069e-014
0.09,0,9.72305,0.898101,-1.92069e-014,-1.92069e-014
0.09,0,9.72305,0.898101,-1.92069e-014,-1.92069e-014
0.091,0,9.71596,0.908037,-2.06501e-014,-2.06502e-014
0.091,0,9.71596,0.908037,-2.06501e-014,-2.06502e-014
0.091,0,9.71596,0.908037,-2.06501e-014,-2.06502e-014
0.092,0,9.70858,0.917971,-2.29816e-014,-2.29816e-014
0.093,0,9.70093,0.927905,-2.17604e-014,-2.17604e-014
0.093,0,9.70093,0.927905,-2.17604e-014,-2.17604e-014
0.093,0,9.70093,0.927905,-2.17604e-014,-2.17604e-014
0.094,0,9.69294,0.937836,-1.74305e-014,-1.74305e-014
0.094,0,9.69294,0.937836,-1.74305e-014,-1.74305e-014
0.094,0,9.69294,0.937836,-1.74305e-014,-1.74305e-014
0.095,0,9.68463,0.947766,-1.73195e-014,-1.73195e-014
0.096,0,9.67607,0.957695,-1.54321e-014,-1.54321e-014
0.096,0,9.67607,0.957695,-1.54321e-014,-1.54321e-014
0.096,0,9.67607,0.957695,-1.54321e-014,-1.54321e-014
0.097,0,9.66714,0.967622,-1.16573e-014,-1.16574e-014
0.097,0,9.66714,0.967622,-1.16573e-014,-1.16574e-014
0.097,0,9.66714,0.967622,-1.16573e-014,-1.16574e-014
0.098,0,9.65791,0.977548,-1.17684e-014,-1.17684e-014
0.099,0,9.64841,0.987472,-1.21014e-014,-1.21015e-014
0.099,0,9.64841,0.987472,-1.21014e-014,-1.21015e-014
0.099,0,9.64841,0.987472,-1.21014e-014,-1.21015e-014
0.099,0,9.64841,0.987472,-1.21014e-014,-1.21015e-014
0.099,0,9.64841,0.987472,-1.21014e-014,-1.21015e-014
0.1,0,9.63855,0.997394,-1.66533e-014,-1.66534e-014
0.101,0,9.62843,1.00732,-1.57652e-014,-1.57652e-014
0.102,0,9.61801,1.01724,-1.5099e-014,-1.50991e-014
0.102,0,9.61801,1.01724,-1.5099e-014,-1.50991e-014
0.102,0,9.61801,1.01724,-1.5099e-014,-1.50991e-014
0.102,0,9.61801,1.01724,-1.5099e-014,-1.50991e-014
0.102,0,9.61801,1.01724,-1.5099e-014,-1.50991e-014
0.103,0,9.60722,1.02715,-1.53211e-014,-1.53211e-014
0.104,0,9.59616,1.03707,-1.53211e-014,-1.53211e-014
0.105,0,9.58481,1.04698,-1.4877e-014,-1.48771e-014
0.105,0,9.58481,1.04698,-1.4877e-014,-1.48771e-014
0.105,0,9.58481,1.04698,-1.4877e-014,-1.48771e-014
0.105,0,9.58481,1.04698,-1.4877e-014,-1.48771e-014
0.105,0,9.58481,1.04698,-1.4877e-014,-1.48771e-014
0.106,0,9.57309,1.0569,-1.44329e-014,-1.4433e-014
0.107,0,9.5611,1.06681,-1.44329e-014,-1.4433e-014
0.108,0,9.54884,1.07672,-1.4877e-014,-1.48771e-014
0.108,0,9.54884,1.07672,-1.4877e-014,-1.48771e-014
0.108,0,9.54884,1.07672,-1.4877e-014,-1.48771e-014
0.109,0,9.5362,1.08663,-1.66533e-014,-1.66534e-014
0.109,0,9.5362,1.08663,-1.66533e-014,-1.66534e-014
0.109,0,9.5362,1.08663,-1.66533e-014,-1.66534e-014
0.11,0,9.52326,1.09653,-1.75415e-014,-1.75416e-014
0.111,0,9.51008,1.10644,-1.84297e-014,-1.84298e-014
0.111,0,9.51008,1.10644,-1.84297e-014,-1.84298e-014
0.111,0,9.51008,1.10644,-1.84297e-014,-1.84298e-014
0.112,0,9.49656,1.11634,-1.53211e-014,-1.53211e-014
0.112,0,9.49656,1.11634,-1.53211e-014,-1.53211e-014
0.112,0,9.49656,1.11634,-1.53211e-014,-1.53211e-014
0.113,0,9.48274,1.12624,-1.88738e-014,-1.88739e-014
0.114,0,9.46869,1.13614,-1.75415e-014,-1.75416e-014
0.114,0,9.46869,1.13614,-1.75415e-014,-1.75416e-014
0.114,0,9.46869,1.13614,-1.75415e-014,-1.75416e-014
0.115,0,9.45431,1.14604,-1.75415e-014,-1.75416e-014
0.115,0,9.45431,1.14604,-1.75415e-014,-1.75416e-014
0.115,0,9.45431,1.14604,-1.75415e-014,-1.75416e-014
0.116,0,9.43965,1.15593,-1.62093e-014,-1.62093e-014
0.117,0,9.42477,1.16583,-1.35447e-014,-1.35448e-014
0.117,0,9.42477,1.16583,-1.35447e-014,-1.35448e-014
0.117,0,9.42477,1.16583,-1.35447e-014,-1.35448e-014
0.117,0,9.42477,1.16583,-1.35447e-014,-1.35448e-014
0.117,0,9.42477,1.16583,-1.35447e-014,-1.35448e-014
0.118,0,9.40957,1.17572,-1.26565e-014,-1.26566e-014
0.119,0,9.39416,1.18561,-1.08802e-014,-1.08803e-014
0.12,0,9.3785,1.1955,-1.02141e-014,-1.02141e-014
0.12,0,9.3785,1.1955,-1.02141e-014,-1.02141e-014
0.12,0,9.3785,1.1955,-1.02141e-014,-1.02141e-014
0.12,0,9.3785,1.1955,-1.02141e-014,-1.02141e-014
0.12,0,9.3785,1.1955,-1.02141e-014,-1.02141e-014
0.121,0,9.36253,1.20538,-8.43769e-015,-8.43778e-015
0.122,0,9.34636,1.21527,-7.10543e-015,-7.10552e-015
0.123,0,9.32997,1.22515,-7.99361e-015,-7.9937e-015
0.123,0,9.32997,1.22515,-7.99361e-015,-7.9937e-015
0.123,0,9.32997,1.22515,-7.99361e-015,-7.9937e-015
0.124,0,9.31329,1.23503,-9.32587e-015,-9.32597e-015
0.124,0,9.31329,1.23503,-9.32587e-015,-9.32597e-015
0.124,0,9.31329,1.23503,-9.32587e-015,-9.32597e-015
0.125,0,9.29638,1.24491,-1.39888e-014,-1.39889e-014
0.126,0,9.2793,1.25479,-1.57652e-014,-1.57653e-014
0.126,0,9.2793,1.25479,-1.57652e-014,-1.57653e-014
0.126,0,9.2793,1.25479,-1.57652e-014,-1.57653e-014
0.127,0,9.26196,1.26466,-1.90958e-014,-1.90959e-014
0.127,0,9.26196,1.26466,-1.90958e-014,-1.90959e-014
0.127,0,9.26196,1.26466,-1.90958e-014,-1.90959e-014
0.128,0,9.24442,1.27453,-1.95399e-014,-1.954e-014
0.129,0,9.22672,1.2844,-1.9762e-014,-1.97621e-014
0.129,0,9.22672,1.2844,-1.9762e-014,-1.97621e-014
0.129,0,9.22672,1.2844,-1.9762e-014,-1.97621e-014
0.129,0,9.22672,1.2844,-1.9762e-014,-1.97621e-014
0.129,0,9.22672,1.2844,-1.9762e-014,-1.97621e-014
0.13,0,9.20879,1.29427,-1.9984e-014,-1.99841e-014
0.131,0,9.19072,1.30414,-1.93179e-014,-1.9318e-014
0.132,0,9.17248,1.314,-1.9762e-014,-1.97621e-014
0.132,0,9.17248,1.314,-1.9762e-014,-1.97621e-014
0.132,0,9.17248,1.314,-1.9762e-014,-1.97621e-014
0.132,0,9.17248,1.314,-1.9762e-014,-1.97621e-014
0.132,0,9.17248,1.314,-1.9762e-014,-1.97621e-014
0.133,0,9.15404,1.32387,-2.15383e-014,-2.15384e-014
0.134,0,9.13547,1.33373,-1.9984e-014,-1.99841e-014
0.135,0,9.11676,1.34359,-2.17604e-014,-2.17605e-014
0.135,0,9.11676,1.34359,-2.17604e-014,-2.17605e-014
0.135,0,9.11676,1.34359,-2.17604e-014,-2.17605e-014
0.136,0,9.09788,1.35344,-2.17604e-014,-2.17605e-014
0.136,0,9.09788,1.35344,-2.17604e-014,-2.17605e-014
0.136,0,9.09788,1.35344,-2.17604e-014,-2.17605e-014
0.137,0,9.07887,1.3633,-2.39808e-014,-2.39809e-014
0.138,0,9.05975,1.37315,-2.37588e-014,-2.37589e-014
0.138,0,9.05975,1.37315,-2.37588e-014,-2.37589e-014
0.138,0,9.05975,1.37315,-2.37588e-014,-2.37589e-014
0.138,0,9.05975,1.37315,-2.37588e-014,-2.37589e-014
0.138,0,9.05975,1.37315,-2.37588e-014,-2.37589e-014
0.139,0,9.04051,1.383,-2.24265e-014,-2.24266e-014
0.14,0,9.02118,1.39284,-2.35367e-014,-2.35368e-014
0.141,0,9.00177,1.40269,-2.17604e-014,-2.17605e-014
0.141,0,9.00177,1.40269,-2.17604e-014,-2.17605e-014
0.141,0,9.00177,1.40269,-2.17604e-014,-2.17605e-014
0.142,0,8.98225,1.41253,-2.22045e-014,-2.22046e-014
0.142,0,8.98225,1.41253,-2.22045e-014,-2.22046e-014
0.142,0,8.98225,1.41253,-2.22045e-014,-2.22046e-014
0.143,0,8.96265,1.42237,-1.9762e-014,-1.97621e-014
0.144,0,8.94299,1.43221,-1.93179e-014,-1.9318e-014
0.144,0,8.94299,1.43221,-1.93179e-014,-1.9318e-014
0.144,0,8.94299,1.43221,-1.93179e-014,-1.9318e-014
0.144,0,8.94299,1.43221,-1.93179e-014,-1.9318e-014
0.144,0,8.94299,1.43221,-1.93179e-014,-1.9318e-014
0.145,0,8.92328,1.44205,-1.77636e-014,-1.77637e-014
0.146,0,8.90353,1.45188,-1.88738e-014,-1.88739e-014
0.147,0,8.88376,1.46171,-1.84297e-014,-1.84298e-014
0.147,0,8.88376,1.46171,-1.84297e-014,-1.84298e-014
0.147,0,8.88376,1.46171,-1.84297e-014,-1.84298e-014
0.147,0,8.88376,1.46171,-1.84297e-014,-1.84298e-014
0.147,0,8.88376,1.46171,-1.84297e-014,-1.84298e-014
0.148,0,8.86395,1.47154,-1.88738e-014,-1.88739e-014
0.149,0,8.84414,1.48137,-1.95399e-014,-1.954e-014
0.15,0,8.82432,1.49119,-1.82077e-014,-1.82078e-014
0.15,0,8.82432,1.49119,-1.82077e-014,-1.82078e-014
0.15,0,8.82432,1.49119,-1.82077e-014,-1.82078e-014
0.151,0,8.80451,1.50101,-1.95399e-014,-1.954e-014
0.151,0,8.80451,1.50101,-1.95399e-014,-1.954e-014
0.151,0,8.80451,1.50101,-1.95399e-014,-1.954e-014
0.152,0,8.78471,1.51083,-1.93179e-014,-1.9318e-014
0.153,0,8.76495,1.52065,-1.86517e-014,-1.86519e-014
0.153,0,8.76495,1.52065,-1.86517e-014,-1.86519e-014
0.153,0,8.76495,1.52065,-1.86517e-014,-1.86519e-014
0.153,0,8.76495,1.52065,-1.86517e-014,-1.86519e-014
0.153,0,8.76495,1.52065,-1.86517e-014,-1.86519e-014
0.154,0,8.74522,1.53046,-1.62093e-014,-1.62094e-014
0.155,0,8.72555,1.54028,-1.70974e-014,-1.70976e-014
0.156,0,8.70591,1.55009,-1.64313e-014,-1.64314e-014
0.156,0,8.70591,1.55009,-1.64313e-014,-1.64314e-014
0.156,0,8.70591,1.55009,-1.64313e-014,-1.64314e-014
0.157,0,8.68635,1.55989,-1.66533e-014,-1.66535e-014
0.157,0,8.68635,1.55989,-1.66533e-014,-1.66535e-014
0.157,0,8.68635,1.55989,-1.66533e-014,-1.66535e-014
0.158,0,8.66686,1.5697,-1.33227e-014,-1.33228e-014
0.159,0,8.64748,1.5795,-1.46549e-014,-1.46551e-014
0.159,0,8.64748,1.5795,-1.46549e-014,-1.46551e-014
0.159,0,8.64748,1.5795,-1.46549e-014,-1.46551e-014
0.159,0,8.64748,1.5795,-1.46549e-014,-1.46551e-014
0.159,0,8.64748,1.5795,-1.46549e-014,-1.46551e-014
0.16,0,8.62816,1.5893,-1.59872e-014,-1.59873e-014
0.161,0,8.60892,1.5991,-1.53211e-014,-1.53212e-014
0.162,0,8.58979,1.6089,-1.62093e-014,-1.62094e-014
0.162,0,8.58979,1.6089,-1.62093e-014,-1.62094e-014
0.162,0,8.58979,1.6089,-1.62093e-014,-1.62094e-014
0.163,0,8.5708,1.61869,-1.86517e-014,-1.86519e-014
0.163,0,8.5708,1.61869,-1.86517e-014,-1.86519e-014
0.163,0,8.5708,1.61869,-1.86517e-014,-1.86519e-014
0.164,0,8.55194,1.62848,-1.88738e-014,-1.88739e-014
0.165,0,8.5332,1.63827,-1.90958e-014,-1.9096e-014
