    "time", "axis1_w", "axis2_w", "axis3_w", "axis4_w", "axis5_w", "axis6_w"
     0.928, 1.6945092,-1.2716223,-1.7585656, 0.6364058, 3.0966248,0.63589784
     0.932, 1.6946553,-1.2715471,-1.7583042,0.63631494, 3.0966575,0.63586724
     0.936, 1.6947989,-1.2714712,-1.7580421,0.63622232, 3.0966927,0.63583497
      0.94, 1.6949398,-1.2713947,-1.7577794,0.63612795, 3.0967306,0.63580098
     0.944, 1.6950778,-1.2713177,-1.7575162,0.63603186, 3.0967713,0.63576526
     0.948, 1.6952127,  -1.27124,-1.7572527,0.63593408, 3.0968147,0.63572776
     0.952, 1.6953447,-1.2711619, -1.756989,0.63583469, 3.0968609,0.63568846
     0.956, 1.6954735,-1.2710832,-1.7567252,0.63573371,   3.09691,0.63564735
      0.96, 1.6955994, -1.271004,-1.7564613,0.63563121, 3.0969619,0.63560442
     0.964, 1.6957221,-1.2709244,-1.7561975, 0.6355272, 3.0970167,0.63555969
     0.968, 1.6958418,-1.2708444,-1.7559338,0.63542173, 3.0970743,0.63551314
     0.972, 1.6959582,-1.2707639,-1.7556703,0.63531483, 3.0971348,0.63546479
     0.976, 1.6960714,-1.2706831,-1.7554073,0.63520655,  3.097198,0.63541464
      0.98, 1.6961812,-1.2706019,-1.7551447,0.63509691, 3.0972641, 0.6353627
     0.984, 1.6962875,-1.2705204,-1.7548827,0.63498597, 3.0973329,0.63530897
     0.988, 1.6963903,-1.2704385,-1.7546215,0.63487377, 3.0974046,0.63525345
     0.992, 1.6964895,-1.2703563,-1.7543611,0.63476037, 3.0974789,0.63519615
     0.996, 1.6965848,-1.2702739,-1.7541016,0.63464582, 3.0975561,0.63513707
         1, 1.6966764,-1.2701912,-1.7538432,0.63453019,  3.097636,0.63507621
     1.004,  1.696764,-1.2701083, -1.753586,0.63441354, 3.0977186,0.63501358
     1.008, 1.6968477,-1.2700252,  -1.75333,0.63429593,  3.097804,0.63494918
     1.012, 1.6969274, -1.269942,-1.7530754,0.63417741, 3.0978921,0.63488301
     1.016, 1.6970031,-1.2698586,-1.7528222,0.63405806, 3.0979829, 0.6348151
      1.02, 1.6970747,-1.2697751,-1.7525707,0.63393791, 3.0980765,0.63474545
     1.024, 1.6971422,-1.2696915,-1.7523208,0.63381705, 3.0981726,0.63467409
     1.028, 1.6972056,-1.2696079,-1.7520727,0.63369551, 3.0982715,0.63460104
     1.032, 1.6972648,-1.2695242,-1.7518265,0.63357336, 3.0983729,0.63452631
     1.036, 1.6973198,-1.2694405,-1.7515823,0.63345066, 3.0984768,0.63444993
      1.04, 1.6973707,-1.2693568,-1.7513402,0.63332747, 3.0985833,0.63437194
     1.044, 1.6974173,-1.2692731,-1.7511004,0.63320386, 3.0986922,0.63429235
     1.048, 1.6974596,-1.2691895,-1.7508628,0.63307988, 3.0988035,0.63421122
     1.052, 1.6974975, -1.269106,-1.7506277,0.63295561, 3.0989171,0.63412857
     1.056, 1.6975312,-1.2690226,-1.7503951, 0.6328311, 3.0990331,0.63404442
      1.06, 1.6975604,-1.2689394,-1.7501651,0.63270643, 3.0991513,0.63395882
     1.064, 1.6975853,-1.2688563,-1.7499378,0.63258168, 3.0992716, 0.6338718
     1.068, 1.6976057,-1.2687734,-1.7497134,0.63245691, 3.0993941,0.63378338
     1.072, 1.6976216,-1.2686908,-1.7494918,0.63233219, 3.0995187,0.63369361
     1.076, 1.6976331,-1.2686084,-1.7492733,0.63220761, 3.0996454,0.63360253
      1.08, 1.6976401,-1.2685262,-1.7490579,0.63208324, 3.0997739,0.63351017
     1.084, 1.6976427,-1.2684444,-1.7488457,0.63195916, 3.0999044,0.63341659
     1.088, 1.6976407,-1.2683629,-1.7486369,0.63183543, 3.1000367,0.63332183
     1.092, 1.6976344,-1.2682817,-1.7484315,0.63171211, 3.1001708,0.63322594
     1.096, 1.6976237,-1.2682009,-1.7482295,0.63158927, 3.1003065,0.63312896
       1.1, 1.6976086,-1.2681205,-1.7480312,0.63146698, 3.1004439,0.63303096
     1.104, 1.6975892,-1.2680406,-1.7478365,0.63134529, 3.1005828,0.63293199
     1.108, 1.6975656,-1.2679611,-1.7476456,0.63122425, 3.1007231,0.63283212
     1.112, 1.6975378, -1.267882,-1.7474585,0.63110392, 3.1008647,0.63273142
     1.116, 1.6975059,-1.2678035,-1.7472754,0.63098435, 3.1010076,0.63262994
      1.12, 1.6974699,-1.2677255,-1.7470962,0.63086563, 3.1011516,0.63252777
     1.124, 1.6974298,-1.2676481, -1.746921,0.63074781, 3.1012966,0.63242496
     1.128, 1.6973857,-1.2675712,  -1.74675,0.63063094, 3.1014425,0.63232161
     1.132, 1.6973376,-1.2674949,-1.7465832,0.63051509, 3.1015892,0.63221776
