"time","heatCapacitor_T","switch_Controll"
9.72,322.855,1
9.73,322.826,1
9.74,322.796,1
9.75,322.766,1
9.76,322.737,1
9.77,322.707,1
9.78,322.678,1
9.79,322.648,1
9.8,322.619,1
9.81,322.589,1
9.82,322.56,1
9.83,322.531,1
9.84,322.501,1
9.85,322.472,1
9.86,322.443,1
9.87,322.413,1
9.88,322.384,1
9.89,322.355,1
9.9,322.326,1
9.91,322.297,1
9.92,322.268,1
9.93,322.238,1
9.94,322.209,1
9.95,322.18,1
9.96,322.151,1
9.97,322.208,0
9.98,322.269,0
9.99,322.329,0
10,322.389,0
