"time","Piston.frame_a.r_0[1]","Piston.frame_a.r_0[2]","Piston.frame_a.r_0[3]"
0.377138,0.15,0.312384,0
0.378139,0.15,0.339511,0
0.37914,0.15,0.364971,0
0.380141,0.15,0.386174,0
0.381142,0.15,0.39868,0
0.382143,0.15,0.397477,0
0.383144,0.15,0.383097,0
0.384145,0.15,0.360681,0
0.385146,0.15,0.334284,0
0.386147,0.15,0.306332,0
0.387148,0.15,0.278606,0
0.388149,0.15,0.252863,0
0.38915,0.15,0.230967,0
0.390151,0.15,0.214507,0
0.391152,0.15,0.204231,0
0.392153,0.15,0.200106,0
0.393154,0.15,0.201959,0
0.394155,0.15,0.209881,0
0.395156,0.15,0.224053,0
0.396157,0.15,0.244126,0
0.397158,0.15,0.268859,0
0.398159,0.15,0.296484,0
0.39916,0.15,0.325188,0
0.400161,0.15,0.353134,0
0.401162,0.15,0.377918,0
0.402163,0.15,0.395421,0
0.403164,0.15,0.39947,0
0.404165,0.15,0.387872,0
0.405166,0.15,0.365825,0
0.406167,0.15,0.338625,0
0.407168,0.15,0.309382,0
0.408169,0.15,0.280218,0
0.40917,0.15,0.253142,0
0.410171,0.15,0.230278,0
0.411172,0.15,0.213422,0
0.412173,0.15,0.203358,0
0.413174,0.15,0.200001,0
0.414175,0.15,0.203185,0
0.415176,0.15,0.213072,0
0.416177,0.15,0.229784,0
0.417178,0.15,0.252628,0
0.418179,0.15,0.279912,0
0.41918,0.15,0.309551,0
0.420181,0.15,0.339489,0
0.421182,0.15,0.36741,0
0.422183,0.15,0.389677,0
0.423184,0.15,0.399916,0
0.424185,0.15,0.392778,0
0.425186,0.15,0.372074,0
0.426187,0.15,0.344499,0
0.427188,0.15,0.314137,0
0.428189,0.15,0.283543,0
0.42919,0.15,0.254988,0
0.430191,0.15,0.230869,0
0.431192,0.15,0.21324,0
0.432193,0.15,0.202995,0
0.433194,0.15,0.200024,0
0.434195,0.15,0.204168,0
0.435196,0.15,0.215638,0
0.436197,0.15,0.234469,0
0.437198,0.15,0.259626,0
0.438199,0.15,0.289014,0
0.4392,0.15,0.320272,0
0.440201,0.15,0.351037,0
0.441202,0.15,0.378286,0
0.442203,0.15,0.396657,0
0.443204,0.15,0.398246,0
0.444205,0.15,0.382014,0
0.445206,0.15,0.355479,0
0.446207,0.15,0.324532,0
0.447208,0.15,0.292504,0
0.448209,0.15,0.26197,0
0.44921,0.15,0.235587,0
0.450211,0.15,0.215824,0
0.451212,0.15,0.203963,0
0.452213,0.15,0.200001,0
0.453214,0.15,0.203724,0
0.454215,0.15,0.215342,0
0.455216,0.15,0.234912,0
0.456217,0.15,0.261274,0
0.457218,0.15,0.292062,0
0.458219,0.15,0.32463,0
0.45922,0.15,0.356286,0
0.460221,0.15,0.383341,0
0.461222,0.15,0.398963,0
0.462223,0.15,0.394935,0
0.463224,0.15,0.37373,0
0.464225,0.15,0.343982,0
0.465226,0.15,0.311057,0
0.466227,0.15,0.278178,0
0.467228,0.15,0.248217,0
0.468229,0.15,0.224131,0
0.46923,0.15,0.208093,0
0.470231,0.15,0.200644,0
0.471232,0.15,0.201499,0
0.472233,0.15,0.210715,0
0.473234,0.15,0.228545,0
0.474235,0.15,0.254186,0
0.475236,0.15,0.285282,0
0.476237,0.15,0.318895,0
0.477238,0.15,0.352073,0
0.478239,0.15,0.38098,0
0.47924,0.15,0.3985,0
0.480241,0.15,0.395287,0
0.481242,0.15,0.373407,0
0.482243,0.15,0.342418,0
0.483244,0.15,0.308232,0
0.484245,0.15,0.274375,0
0.485246,0.15,0.244043,0
0.486247,0.15,0.220451,0
0.487248,0.15,0.205699,0
0.488249,0.15,0.20008,0
0.48925,0.15,0.203299,0
0.490251,0.15,0.215562,0
0.491252,0.15,0.236936,0
0.492253,0.15,0.265909,0
0.493254,0.15,0.299495,0
0.494255,0.15,0.334452,0
0.495256,0.15,0.367282,0
0.496257,0.15,0.392363,0
0.497258,0.15,0.399487,0
0.498259,0.15,0.383698,0
0.49926,0.15,0.354299,0
0.5,0.15,0.328898,0
