    "time","Piston_r2","Inertia_w"
     0.221,0.28552782, 169.45983
    0.2215,0.27982391, 165.63221
     0.222,0.27346818, 162.23815
    0.2225,0.26656098, 159.38751
     0.223,0.25918957, 157.13909
    0.2235,0.25143336, 155.53134
     0.224,0.24336336, 154.57889
    0.2245,0.23503939, 154.28024
     0.225,0.22651349, 154.62514
    0.2255,0.21783632, 155.60254
     0.226,0.20906036, 157.20547
    0.2265,0.20023954, 159.42968
     0.227,0.19142894, 162.26776
    0.2275,0.18268613, 165.70242
     0.228,0.17407265, 169.70138
    0.2285,0.16565436, 174.21279
     0.229,0.15750047, 179.15976
    0.2295,0.14968195, 184.43546
      0.23,0.14226945, 189.90256
    0.2305, 0.1353305, 195.39969
     0.231,0.12892622, 200.75486
    0.2315,0.12310805, 205.80323
     0.232,0.11791538, 210.40491
    0.2325,0.11337455, 214.45797
     0.233,0.10949955,  217.9033
    0.2335,0.10629413,  220.7206
     0.234,0.10375475, 222.91807
    0.2345,0.10187392, 224.51975
     0.235,0.10064325, 225.55373
    0.2355,0.10005588, 226.04315
     0.236,0.10010813, 225.97765
    0.2365,0.10080013, 225.39413
     0.237,0.10213592, 224.27507
    0.2375,0.10412195, 222.59571
     0.238,0.10676684, 220.34256
    0.2385,0.11007849, 217.51093
     0.239,0.11406126, 214.11464
    0.2395,0.11871307, 210.19573
      0.24,0.12402281, 205.82869
    0.2405,0.12996856, 201.12893
     0.241,0.13651781, 196.20158
    0.2415,0.14362291, 191.23043
     0.242,0.15122863, 186.38267
    0.2425,0.15927357, 181.81335
     0.243,0.16769109, 177.65075
    0.2435,0.17641696, 173.99852
     0.244,0.18538411,  170.9361
    0.2445, 0.1945243, 168.51448
     0.245,0.20377651, 166.78119
    0.2455, 0.2130789, 165.77047
     0.246,0.22236986, 165.51248
    0.2465, 0.2315867, 166.04041
     0.247,0.24066336, 167.39113
    0.2475,0.24952801, 169.60488
     0.248,0.25809955, 172.72052
    0.2485,0.26628321,  176.7635
     0.249,0.27396523, 181.72031
    0.2495,0.28100707, 187.49672
      0.25,0.28724072, 193.85653
    0.2505,0.29247025, 200.36805
     0.251,0.29647544, 206.25747
    0.2515,0.29903981, 210.52342
     0.252,0.29999585, 212.23248
    0.2525,0.29927375, 211.05756
     0.253,0.29692376, 207.58908
    0.2535,0.29308704, 202.53716
     0.254,0.28796002, 196.79333
    0.2545, 0.2817529, 191.12017
     0.255,0.27465916, 186.01055
    0.2555,0.26684557, 181.73039
     0.256,0.25845081, 178.38633
    0.2565,0.24959069, 176.00233
     0.257,0.24036483, 174.58127
    0.2575,0.23085545, 174.10522
     0.258,0.22113829, 174.55601
    0.2585,0.21129211,  175.9086
     0.259,0.20139407, 178.15118
    0.2595,0.19152128,  181.2638
      0.26,0.18175394, 185.21227
    0.2605, 0.1721767, 189.94562
     0.261,0.16287943, 195.36166
    0.2615,0.15396018, 201.36024
     0.262,0.14550625, 207.74239
    0.2625,0.13760811, 214.29068
     0.263,  0.130348, 220.74819
    0.2635,0.12379594, 226.86305
     0.264,0.11800682, 232.42321
    0.2645,0.11301514, 237.26948
     0.265,0.10883757,  241.3117
    0.2655,0.10547676, 244.52135
     0.266,0.10292593, 246.91382
    0.2665,0.10117403, 248.52664
     0.267,0.10021024, 249.39961
    0.2675, 0.1000274, 249.55124
     0.268,0.10062381, 249.00358
    0.2685,0.10200413, 247.74911
     0.269,0.10417804, 245.75607
    0.2695,0.10715765, 242.99807
      0.27,0.11095383, 239.46373
    0.2705,0.11557153, 235.17281
     0.271,0.12100491, 230.19589
    0.2715,0.12723311, 224.66269
     0.272,0.13421784, 218.76137
    0.2725,0.14190333,  212.7228
     0.273,0.15021877, 206.79453
    0.2735, 0.1590825, 201.21281
     0.274,0.16840675, 196.18093
    0.2745, 0.1781018, 191.85869
     0.275,0.18807896, 188.36283
    0.2755,0.19825188, 185.77552
     0.276,0.20853658, 184.15634
    0.2765,0.21885026, 183.55456
     0.277,0.22910912, 184.01909
    0.2775,0.23922522, 185.60474
     0.278,0.24910224, 188.37317
    0.2785,0.25862975, 192.38545
     0.279,0.26767588, 197.67937
    0.2795,0.27607816, 204.22077
      0.28,0.28363383, 211.82121
    0.2805,0.29009547, 220.03994
     0.281,0.29516954,  227.9232
    0.2815, 0.2985462, 234.04531
     0.282,0.29996515, 236.88116
    0.2825,0.29929945,  235.6334
     0.283,0.29660718, 231.06464
    0.2835,0.29209258, 224.35059
     0.284,0.28603833, 216.86527
    0.2845,0.27873761, 209.69723
     0.285,0.27045046, 203.48102
    0.2855,0.26138894, 198.53456
     0.286,0.25173046, 194.90497
    0.2865,0.24161289, 192.59677
     0.287,0.23116139,  191.5753
    0.2875,0.22048842, 191.80905
     0.288,0.20968861, 193.26251
    0.2885,0.19885728, 195.89076
     0.289,0.18809519, 199.67453
