"time","J1_0w","J2_0w","J3_0w","J4_0w"
0.2715,7.85429,2.663,3.9968e-015,4.00511e-015
0.273,7.85429,2.663,3.9968e-015,4.00511e-015
0.273,7.85164,2.67713,4.88498e-015,4.89369e-015
0.2745,7.85164,2.67713,4.88498e-015,4.89369e-015
0.2745,7.84852,2.69126,3.10862e-015,3.11777e-015
0.276,7.84852,2.69126,3.10862e-015,3.11777e-015
0.276,7.84493,2.70537,3.10862e-015,3.11823e-015
0.2775,7.84493,2.70537,3.10862e-015,3.11823e-015
0.2775,7.84083,2.71948,3.55271e-015,3.56281e-015
0.279,7.84083,2.71948,3.55271e-015,3.56281e-015
0.279,7.8362,2.73358,3.10862e-015,3.11922e-015
0.2805,7.8362,2.73358,3.10862e-015,3.11922e-015
0.2805,7.83102,2.74766,3.55271e-015,3.56384e-015
0.282,7.83102,2.74766,3.55271e-015,3.56384e-015
0.282,7.82528,2.76174,3.55271e-015,3.56437e-015
0.2835,7.82528,2.76174,3.55271e-015,3.56437e-015
0.2835,7.81895,2.77581,3.55271e-015,3.56488e-015
0.285,7.81895,2.77581,3.55271e-015,3.56488e-015
0.285,7.81201,2.78986,4.44089e-015,4.45356e-015
0.2865,7.81201,2.78986,4.44089e-015,4.45356e-015
0.2865,7.80445,2.80391,3.55271e-015,3.56587e-015
0.288,7.80445,2.80391,3.55271e-015,3.56587e-015
0.288,7.79626,2.81795,4.44089e-015,4.45451e-015
0.2895,7.79626,2.81795,4.44089e-015,4.45451e-015
0.2895,7.78743,2.83198,3.9968e-015,4.01083e-015
0.291,7.78743,2.83198,3.9968e-015,4.01083e-015
0.291,7.77793,2.84599,3.55271e-015,3.56719e-015
0.2925,7.77793,2.84599,3.55271e-015,3.56719e-015
0.2925,7.76776,2.86,3.9968e-015,4.01172e-015
0.294,7.76776,2.86,3.9968e-015,4.01172e-015
0.294,7.75692,2.874,3.10862e-015,3.12398e-015
0.2955,7.75692,2.874,3.10862e-015,3.12398e-015
0.2955,7.74539,2.88799,3.10862e-015,3.12444e-015
0.297,7.74539,2.88799,3.10862e-015,3.12444e-015
0.297,7.73318,2.90196,3.10862e-015,3.12493e-015
0.2985,7.73318,2.90196,3.10862e-015,3.12493e-015
0.2985,7.72027,2.91593,4.44089e-015,4.45768e-015
0.3,7.72027,2.91593,4.44089e-015,4.45768e-015
0.3,7.70666,2.92989,4.88498e-015,4.90224e-015
0.3015,7.70666,2.92989,4.88498e-015,4.90224e-015
0.3015,7.69236,2.94383,3.9968e-015,4.01455e-015
0.303,7.69236,2.94383,3.9968e-015,4.01455e-015
0.303,7.67736,2.95777,4.44089e-015,4.45912e-015
0.3045,7.67736,2.95777,4.44089e-015,4.45912e-015
0.3045,7.66167,2.97169,4.44089e-015,4.45962e-015
0.306,7.66167,2.97169,4.44089e-015,4.45962e-015
0.306,7.6453,2.98561,5.32907e-015,5.34831e-015
0.3075,7.6453,2.98561,5.32907e-015,5.34831e-015
0.3075,7.62823,2.99951,4.88498e-015,4.90481e-015
0.309,7.62823,2.99951,4.88498e-015,4.90481e-015
0.309,7.61049,3.0134,4.88498e-015,4.90545e-015
0.3105,7.61049,3.0134,4.88498e-015,4.90545e-015
0.3105,7.59208,3.02729,4.44089e-015,4.46209e-015
0.312,7.59208,3.02729,4.44089e-015,4.46209e-015
0.312,7.57302,3.04116,4.44089e-015,4.46291e-015
0.3135,7.57302,3.04116,4.44089e-015,4.46291e-015
0.3135,7.55331,3.05502,4.88498e-015,4.90795e-015
